Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 32
Max Evaluations: 5000

Generation 85: Best Solution = [-9.59973555e-09  1.89744851e-08], Best Fitness = 6.014556719335928e-08, Evaluations = 2752
Generation 86: Best Solution = [-9.59973555e-09  1.89744851e-08], Best Fitness = 6.014556719335928e-08, Evaluations = 2784
Generation 87: Best Solution = [-9.59973555e-09  1.89744851e-08], Best Fitness = 6.014556719335928e-08, Evaluations = 2816
Generation 88: Best Solution = [-9.59973555e-09  1.89744851e-08], Best Fitness = 6.014556719335928e-08, Evaluations = 2848
Generation 89: Best Solution = [-9.59973555e-09  1.89744851e-08], Best Fitness = 6.014556719335928e-08, Evaluations = 2880
Generation 90: Best Solution = [ 7.74731118e-09 -1.17087221e-08], Best Fitness = 3.971045758888181e-08, Evaluations = 2912
Generation 91: Best Solution = [ 1.23806425e-08 -2.13291734e-09], Best Fitness = 3.5533610276416994e-08, Evaluations = 2944
Generation 92: Best Solution = [-3.23062628e-09 -2.10177741e-09], Best Fitness = 1.0901161306975382e-08, Evaluations = 2976
Generation 93: Best Solution = [-3.23062628e-09 -2.10177741e-09], Best Fitness = 1.0901161306975382e-08, Evaluations = 3008
Generation 94: Best Solution = [-3.23062628e-09 -2.10177741e-09], Best Fitness = 1.0901161306975382e-08, Evaluations = 3040
Generation 95: Best Solution = [-3.23062628e-09 -2.10177741e-09], Best Fitness = 1.0901161306975382e-08, Evaluations = 3072
Generation 96: Best Solution = [-3.23062628e-09 -2.10177741e-09], Best Fitness = 1.0901161306975382e-08, Evaluations = 3104
Generation 97: Best Solution = [-3.23062628e-09 -2.10177741e-09], Best Fitness = 1.0901161306975382e-08, Evaluations = 3136
Generation 98: Best Solution = [-2.92113686e-10 -2.34350366e-09], Best Fitness = 6.679723885127942e-09, Evaluations = 3168
Generation 99: Best Solution = [-2.92113686e-10 -2.34350366e-09], Best Fitness = 6.679723885127942e-09, Evaluations = 3200
Generation 100: Best Solution = [-2.92113686e-10 -2.34350366e-09], Best Fitness = 6.679723885127942e-09, Evaluations = 3232
Generation 101: Best Solution = [1.30592800e-09 1.13209666e-09], Best Fitness = 4.888427884708335e-09, Evaluations = 3264
Generation 102: Best Solution = [1.30592800e-09 1.13209666e-09], Best Fitness = 4.888427884708335e-09, Evaluations = 3296
Generation 103: Best Solution = [1.30592800e-09 1.13209666e-09], Best Fitness = 4.888427884708335e-09, Evaluations = 3328
Generation 104: Best Solution = [1.30592800e-09 1.13209666e-09], Best Fitness = 3.3711065050567868e-09, Evaluations = 3360
Generation 105: Best Solution = [ 2.68764249e-11 -1.74334753e-10], Best Fitness = 4.989186841442006e-10, Evaluations = 3392
Generation 106: Best Solution = [ 2.68764249e-11 -1.74334753e-10], Best Fitness = 4.989186841442006e-10, Evaluations = 3424
Generation 107: Best Solution = [2.23534589e-11 9.72678291e-12], Best Fitness = 6.895151116736997e-11, Evaluations = 3456
Generation 108: Best Solution = [2.23534589e-11 9.72678291e-12], Best Fitness = 6.895151116736997e-11, Evaluations = 3488
Generation 109: Best Solution = [2.23534589e-11 9.72678291e-12], Best Fitness = 6.895151116736997e-11, Evaluations = 3520
Generation 110: Best Solution = [2.23534589e-11 9.72678291e-12], Best Fitness = 6.895151116736997e-11, Evaluations = 3552
Generation 111: Best Solution = [2.23534589e-11 9.72678291e-12], Best Fitness = 6.895151116736997e-11, Evaluations = 3584
Generation 112: Best Solution = [2.23534589e-11 9.72678291e-12], Best Fitness = 6.895151116736997e-11, Evaluations = 3616
Generation 113: Best Solution = [2.23534589e-11 9.72678291e-12], Best Fitness = 6.895151116736997e-11, Evaluations = 3648
