Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 10
Population Size: 16
Max Evaluations: 10000

  1.58948157  1.22564782  1.8572469   2.73105861], Best Fitness = 713.9136912995737, Evaluations = 768
Generation 48: Best Solution = [-0.52792052 -0.19435254  0.72751031 -0.91222032 -0.0589412  -0.37931764
  1.58948157  1.22564782  1.8572469   2.73105861], Best Fitness = 713.9136912995737, Evaluations = 784
Generation 49: Best Solution = [-0.52792052 -0.19435254  0.72751031 -0.91222032 -0.0589412  -0.37931764
  1.58948157  1.22564782  1.8572469   2.73105861], Best Fitness = 713.9136912995737, Evaluations = 800
Generation 50: Best Solution = [-0.52792052 -0.19435254  0.72751031 -0.91222032 -0.0589412  -0.37931764
  1.58948157  1.22564782  1.8572469   2.73105861], Best Fitness = 713.9136912995737, Evaluations = 816
Generation 51: Best Solution = [-1.25288805  0.07522541 -0.0617565  -0.45637916 -0.07286464 -0.2469332
 -0.48820034  0.00616077  1.09244364 -0.04737415], Best Fitness = 583.1945581872968, Evaluations = 832
Generation 52: Best Solution = [-1.25288805  0.07522541 -0.0617565  -0.45637916 -0.07286464 -0.2469332
 -0.48820034  0.00616077  1.09244364 -0.04737415], Best Fitness = 583.1945581872968, Evaluations = 848
Generation 53: Best Solution = [-1.25288805  0.07522541 -0.0617565  -0.45637916 -0.07286464 -0.2469332
 -0.48820034  0.00616077  1.09244364 -0.04737415], Best Fitness = 583.1945581872968, Evaluations = 864
Generation 54: Best Solution = [-1.25288805  0.07522541 -0.0617565  -0.45637916 -0.07286464 -0.2469332
 -0.48820034  0.00616077  1.09244364 -0.04737415], Best Fitness = 583.1945581872968, Evaluations = 880
Generation 55: Best Solution = [-1.25288805  0.07522541 -0.0617565  -0.45637916 -0.07286464 -0.2469332
 -0.48820034  0.00616077  1.09244364 -0.04737415], Best Fitness = 583.1945581872968, Evaluations = 896
Generation 56: Best Solution = [-1.25288805  0.07522541 -0.0617565  -0.45637916 -0.07286464 -0.2469332
 -0.48820034  0.00616077  1.09244364 -0.04737415], Best Fitness = 583.1945581872968, Evaluations = 912
Generation 57: Best Solution = [-0.60096593 -0.10457601 -1.17664203  0.52713245 -0.57496466  0.10213989
 -0.9755908   0.8770455   1.1005192   0.24405377], Best Fitness = 532.4267544179033, Evaluations = 928
Generation 58: Best Solution = [-0.60096593 -0.10457601 -1.17664203  0.52713245 -0.57496466  0.10213989
 -0.9755908   0.8770455   1.1005192   0.24405377], Best Fitness = 532.4267544179033, Evaluations = 944
Generation 59: Best Solution = [-0.1937271  -0.0131548   0.4486229   1.0077232   0.45712487 -0.60281181
 -0.22378708  0.25987295  0.89515737  0.74143171], Best Fitness = 297.890614683666, Evaluations = 960
Generation 60: Best Solution = [-0.1937271  -0.0131548   0.4486229   1.0077232   0.45712487 -0.60281181
 -0.22378708  0.25987295  0.89515737  0.74143171], Best Fitness = 297.890614683666, Evaluations = 976
Generation 61: Best Solution = [-0.1937271  -0.0131548   0.4486229   1.0077232   0.45712487 -0.60281181
 -0.22378708  0.25987295  0.89515737  0.74143171], Best Fitness = 297.890614683666, Evaluations = 992
Generation 62: Best Solution = [-0.1937271  -0.0131548   0.4486229   1.0077232   0.45712487 -0.60281181
 -0.22378708  0.25987295  0.89515737  0.74143171], Best Fitness = 297.890614683666, Evaluations = 1008
Generation 63: Best Solution = [ 1.22682249  1.06095114  0.36091063  0.2926035  -0.1992723  -0.53073092
  0.71379191  1.24966751  1.23327372  1.79009453], Best Fitness = 217.92488823642583, Evaluations = 1024
Generation 64: Best Solution = [ 0.02827214  0.46465705  0.18726265 -0.4180682   0.15000123 -0.09842583
  0.07434369  0.39719653 -0.95731267  1.32952965], Best Fitness = 211.70003465483964, Evaluations = 1040
Generation 65: Best Solution = [ 0.02827214  0.46465705  0.18726265 -0.4180682   0.15000123 -0.09842583
  0.07434369  0.39719653 -0.95731267  1.32952965], Best Fitness = 211.70003465483964, Evaluations = 1056
Generation 66: Best Solution = [ 0.11726881  0.07100296  0.36091063  0.2926035  -0.1992723  -0.68851548
  0.95787964  1.24966751  1.23327372  1.79009453], Best Fitness = 136.20153981443704, Evaluations = 1072
Generation 67: Best Solution = [ 0.11726881  0.07100296  0.36091063  0.2926035  -0.1992723  -0.68851548
