Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 75: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.011708577141795962, Evaluations = 1216
Generation 76: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.011708577141795962, Evaluations = 1232
Generation 77: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.011708577141795962, Evaluations = 1248
Generation 78: Best Solution = [-6.47635828 -0.17863476], Best Fitness = 0.011708577141795962, Evaluations = 1264
Generation 79: Best Solution = [0.02788548 0.1187657 ], Best Fitness = 0.0039153765467097035, Evaluations = 1280
Generation 80: Best Solution = [0.02788548 0.1187657 ], Best Fitness = 0.0039153765467097035, Evaluations = 1296
Generation 81: Best Solution = [0.02788548 0.1187657 ], Best Fitness = 0.0039153765467097035, Evaluations = 1312
Generation 82: Best Solution = [0.02788548 0.1187657 ], Best Fitness = 0.003632008980396284, Evaluations = 1328
Generation 83: Best Solution = [0.02788548 0.1187657 ], Best Fitness = 0.003632008980396284, Evaluations = 1344
Generation 84: Best Solution = [0.02788548 0.1187657 ], Best Fitness = 0.003632008980396284, Evaluations = 1360
Generation 85: Best Solution = [0.02788548 0.1187657 ], Best Fitness = 0.003632008980396284, Evaluations = 1376
Generation 86: Best Solution = [0.02788548 0.1187657 ], Best Fitness = 0.003632008980396284, Evaluations = 1392
Generation 87: Best Solution = [-0.014855    0.10967469], Best Fitness = 0.0031186917363759115, Evaluations = 1408
Generation 88: Best Solution = [-0.014855    0.10967469], Best Fitness = 0.0031186917363759115, Evaluations = 1424
Generation 89: Best Solution = [-0.014855    0.10967469], Best Fitness = 0.0031186917363759115, Evaluations = 1440
Generation 90: Best Solution = [-0.00262835 -0.03884865], Best Fitness = 0.0003811125268842197, Evaluations = 1456
Generation 91: Best Solution = [-0.00528986  0.00670513], Best Fitness = 2.5249012132633197e-05, Evaluations = 1472
Generation 92: Best Solution = [-0.00508679  0.00269282], Best Fitness = 1.4758788117519295e-05, Evaluations = 1488
Generation 93: Best Solution = [-0.00508679  0.00269282], Best Fitness = 1.4758788117519295e-05, Evaluations = 1504
Generation 94: Best Solution = [-0.00508679  0.00269282], Best Fitness = 1.4758788117519295e-05, Evaluations = 1520
Generation 95: Best Solution = [ 0.00188364 -0.00263078], Best Fitness = 3.5069199744164337e-06, Evaluations = 1536
Generation 96: Best Solution = [ 0.00188364 -0.00263078], Best Fitness = 3.5069199744164337e-06, Evaluations = 1552
Generation 97: Best Solution = [ 0.00188364 -0.00263078], Best Fitness = 3.5069199744164337e-06, Evaluations = 1568
Generation 98: Best Solution = [ 0.00188364 -0.00263078], Best Fitness = 3.5069199744164337e-06, Evaluations = 1584
Generation 99: Best Solution = [ 0.00074959 -0.00175187], Best Fitness = 1.0491123527689439e-06, Evaluations = 1600
Generation 100: Best Solution = [ 0.00074959 -0.00175187], Best Fitness = 1.0491123527689439e-06, Evaluations = 1616
Generation 101: Best Solution = [0.00072097 0.00167227], Best Fitness = 9.598528920573557e-07, Evaluations = 1632
Generation 102: Best Solution = [0.00102481 0.00046642], Best Fitness = 5.798225595210482e-07, Evaluations = 1648
Generation 103: Best Solution = [ 0.00011406 -0.00083167], Best Fitness = 1.795975974605568e-07, Evaluations = 1664
Generation 104: Best Solution = [ 0.00011406 -0.00083167], Best Fitness = 1.795975974605568e-07, Evaluations = 1680
Generation 105: Best Solution = [-4.30510463e-05  8.91572713e-07], Best Fitness = 9.273585233060544e-10, Evaluations = 1696
Generation 106: Best Solution = [-4.30510463e-05  8.91572713e-07], Best Fitness = 9.273585233060544e-10, Evaluations = 1712
Generation 107: Best Solution = [-4.30510463e-05  8.91572713e-07], Best Fitness = 9.273585233060544e-10, Evaluations = 1728
Generation 108: Best Solution = [-4.30510463e-05  8.91572713e-07], Best Fitness = 9.273585233060544e-10, Evaluations = 1744
Generation 109: Best Solution = [-4.30510463e-05  8.91572713e-07], Best Fitness = 9.273585233060544e-10, Evaluations = 1760
Generation 110: Best Solution = [-4.30510463e-05  8.91572713e-07], Best Fitness = 9.273585233060544e-10, Evaluations = 1776
Generation 111: Best Solution = [-4.30510463e-05  8.91572713e-07], Best Fitness = 9.273585233060544e-10, Evaluations = 1792
Generation 112: Best Solution = [9.50602169e-06 1.18461110e-05], Best Fitness = 8.032241538558083e-11, Evaluations = 1808
Generation 113: Best Solution = [9.50602169e-06 1.18461110e-05], Best Fitness = 8.032241538558083e-11, Evaluations = 1824
Generation 114: Best Solution = [9.50602169e-06 1.18461110e-05], Best Fitness = 8.032241538558083e-11, Evaluations = 1840
Generation 115: Best Solution = [9.50602169e-06 1.18461110e-05], Best Fitness = 8.032241538558083e-11, Evaluations = 1856
Generation 116: Best Solution = [9.50602169e-06 1.18461110e-05], Best Fitness = 8.032241538558083e-11, Evaluations = 1872
Generation 117: Best Solution = [9.50602169e-06 1.18461110e-05], Best Fitness = 8.032241538558083e-11, Evaluations = 1888
Generation 118: Best Solution = [9.50602169e-06 1.18461110e-05], Best Fitness = 8.032241538558083e-11, Evaluations = 1904
Generation 119: Best Solution = [9.50602169e-06 1.18461110e-05], Best Fitness = 8.032241538558083e-11, Evaluations = 1920
Generation 120: Best Solution = [9.50602169e-06 1.18461110e-05], Best Fitness = 8.032241538558083e-11, Evaluations = 1936
Generation 121: Best Solution = [9.50602169e-06 1.18461110e-05], Best Fitness = 8.032241538558083e-11, Evaluations = 1952
Generation 122: Best Solution = [9.50602169e-06 1.18461110e-05], Best Fitness = 8.032241538558083e-11, Evaluations = 1968
Generation 123: Best Solution = [9.50602169e-06 1.18461110e-05], Best Fitness = 8.032241538558083e-11, Evaluations = 1984
Generation 124: Best Solution = [9.50602169e-06 1.18461110e-05], Best Fitness = 8.032241538558083e-11, Evaluations = 2000
