Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 103: Best Solution = [ 6.44165098e-11 -2.45138334e-11], Best Fitness = 4.75041476277053e-21, Evaluations = 1664
Generation 104: Best Solution = [ 1.35097106e-11 -1.64433247e-11], Best Fitness = 4.52895209053332e-22, Evaluations = 1680
Generation 105: Best Solution = [ 1.35097106e-11 -1.64433247e-11], Best Fitness = 4.52895209053332e-22, Evaluations = 1696
Generation 106: Best Solution = [ 2.92710698e-12 -7.81711651e-12], Best Fitness = 6.967526577491989e-23, Evaluations = 1712
Generation 107: Best Solution = [ 2.92710698e-12 -7.81711651e-12], Best Fitness = 6.967526577491989e-23, Evaluations = 1728
Generation 108: Best Solution = [ 6.45249407e-12 -3.48810469e-12], Best Fitness = 5.380155406732797e-23, Evaluations = 1744
Generation 109: Best Solution = [ 6.45249407e-12 -3.48810469e-12], Best Fitness = 5.380155406732797e-23, Evaluations = 1760
Generation 110: Best Solution = [ 6.45249407e-12 -3.48810469e-12], Best Fitness = 5.380155406732797e-23, Evaluations = 1776
Generation 111: Best Solution = [ 6.45249407e-12 -3.48810469e-12], Best Fitness = 5.380155406732797e-23, Evaluations = 1792
Generation 112: Best Solution = [ 6.45249407e-12 -3.48810469e-12], Best Fitness = 5.380155406732797e-23, Evaluations = 1808
Generation 113: Best Solution = [2.95879023e-12 1.34527435e-12], Best Fitness = 1.0564202715632941e-23, Evaluations = 1824
Generation 114: Best Solution = [2.95879023e-12 1.34527435e-12], Best Fitness = 1.0564202715632941e-23, Evaluations = 1840
Generation 115: Best Solution = [2.95879023e-12 1.34527435e-12], Best Fitness = 1.0564202715632941e-23, Evaluations = 1856
Generation 116: Best Solution = [2.95879023e-12 1.34527435e-12], Best Fitness = 1.0564202715632941e-23, Evaluations = 1872
Generation 117: Best Solution = [-1.37132416e-13  2.48402538e-12], Best Fitness = 6.189187400412856e-24, Evaluations = 1888
Generation 118: Best Solution = [-1.37132416e-13  2.48402538e-12], Best Fitness = 1.0038745711904464e-24, Evaluations = 1904
Generation 119: Best Solution = [-1.37132416e-13  2.48402538e-12], Best Fitness = 1.0038745711904464e-24, Evaluations = 1920
Generation 120: Best Solution = [-1.37132416e-13  2.48402538e-12], Best Fitness = 1.0038745711904464e-24, Evaluations = 1936
Generation 121: Best Solution = [-5.92261316e-13 -2.78666289e-13], Best Fitness = 4.284283666311011e-25, Evaluations = 1952
Generation 122: Best Solution = [-4.27012817e-14  1.82436036e-13], Best Fitness = 3.510630664306958e-26, Evaluations = 1968
Generation 123: Best Solution = [-4.27012817e-14  1.82436036e-13], Best Fitness = 3.510630664306958e-26, Evaluations = 1984
Generation 124: Best Solution = [-4.27012817e-14  1.82436036e-13], Best Fitness = 3.510630664306958e-26, Evaluations = 2000
