Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 77: Best Solution = [-9.28377097 -4.54989966], Best Fitness = 0.024340774061820225, Evaluations = 624
Generation 78: Best Solution = [ 3.3067584  -4.50081599], Best Fitness = 0.022234405838995164, Evaluations = 632
Generation 79: Best Solution = [ 3.3067584  -4.50081599], Best Fitness = 0.022234405838995164, Evaluations = 640
Generation 80: Best Solution = [ 3.3067584  -4.50081599], Best Fitness = 0.022234405838995164, Evaluations = 648
Generation 81: Best Solution = [ 3.3067584  -4.50081599], Best Fitness = 0.022234405838995164, Evaluations = 656
Generation 82: Best Solution = [ 3.3067584  -4.50081599], Best Fitness = 0.022234405838995164, Evaluations = 664
Generation 83: Best Solution = [ 3.3067584  -4.50081599], Best Fitness = 0.022234405838995164, Evaluations = 672
Generation 84: Best Solution = [ 3.3067584  -4.42383022], Best Fitness = 0.021324628035390703, Evaluations = 680
Generation 85: Best Solution = [ 3.3067584  -4.42383022], Best Fitness = 0.021324628035390703, Evaluations = 688
Generation 86: Best Solution = [ 3.3067584  -4.42383022], Best Fitness = 0.021324628035390703, Evaluations = 696
Generation 87: Best Solution = [ 3.3067584  -4.42383022], Best Fitness = 0.021324628035390703, Evaluations = 704
Generation 88: Best Solution = [ 3.3067584  -4.43881172], Best Fitness = 0.02127239413562032, Evaluations = 712
Generation 89: Best Solution = [ 3.3067584  -4.43881172], Best Fitness = 0.02127239413562032, Evaluations = 720
Generation 90: Best Solution = [ 3.3067584  -4.43881172], Best Fitness = 0.02127239413562032, Evaluations = 728
Generation 91: Best Solution = [ 3.3067584  -4.43881172], Best Fitness = 0.02127239413562032, Evaluations = 736
Generation 92: Best Solution = [ 3.3067584  -4.43881172], Best Fitness = 0.02127239413562032, Evaluations = 744
Generation 93: Best Solution = [ 3.3067584  -4.43881172], Best Fitness = 0.02127239413562032, Evaluations = 752
Generation 94: Best Solution = [ 3.3067584 -4.4387463], Best Fitness = 0.02127238135724152, Evaluations = 760
Generation 95: Best Solution = [ 3.3067584 -4.4387463], Best Fitness = 0.02127238135724152, Evaluations = 768
Generation 96: Best Solution = [ 3.3067584 -4.4387463], Best Fitness = 0.02127238135724152, Evaluations = 776
Generation 97: Best Solution = [ 3.3067584 -4.4387463], Best Fitness = 0.02127238135724152, Evaluations = 784
Generation 98: Best Solution = [ 3.3067584 -4.4387463], Best Fitness = 0.02127238135724152, Evaluations = 792
Generation 99: Best Solution = [ 3.3067584 -4.4387463], Best Fitness = 0.02127238135724152, Evaluations = 800
Generation 100: Best Solution = [ 3.3067584 -4.4387463], Best Fitness = 0.02127238135724152, Evaluations = 808
Generation 101: Best Solution = [ 3.3067584 -4.4387463], Best Fitness = 0.02127238135724152, Evaluations = 816
Generation 102: Best Solution = [ 3.3067584 -4.4387463], Best Fitness = 0.02127238135724152, Evaluations = 824
Generation 103: Best Solution = [ 3.3067584 -4.4387463], Best Fitness = 0.02127238135724152, Evaluations = 832
Generation 104: Best Solution = [ 3.3067584 -4.4387463], Best Fitness = 0.02127238135724152, Evaluations = 840
Generation 105: Best Solution = [ 3.3067584 -4.4387463], Best Fitness = 0.02127238135724152, Evaluations = 848
Generation 106: Best Solution = [ 3.3067584  -4.43867869], Best Fitness = 0.02127237036918217, Evaluations = 856
Generation 107: Best Solution = [ 3.3067584  -4.43867869], Best Fitness = 0.02127237036918217, Evaluations = 864
Generation 108: Best Solution = [ 3.3067584  -4.43840013], Best Fitness = 0.021272348901777205, Evaluations = 872
Generation 109: Best Solution = [ 3.3067584  -4.43840013], Best Fitness = 0.021272348901777205, Evaluations = 880
Generation 110: Best Solution = [ 3.3067584  -4.43836972], Best Fitness = 0.021272348877510394, Evaluations = 888
Generation 111: Best Solution = [ 3.3067584  -4.43836972], Best Fitness = 0.021272348877510394, Evaluations = 896
Generation 112: Best Solution = [ 3.3067584 -4.438388 ], Best Fitness = 0.021272348837358512, Evaluations = 904
Generation 113: Best Solution = [ 3.3067584  -4.43838207], Best Fitness = 0.021272348832315546, Evaluations = 912
Generation 114: Best Solution = [ 3.3067584  -4.43838207], Best Fitness = 0.021272348832315546, Evaluations = 920
Generation 115: Best Solution = [ 3.3067584  -4.43838207], Best Fitness = 0.021272348832315546, Evaluations = 928
Generation 116: Best Solution = [ 3.3067584  -4.43838354], Best Fitness = 0.021272348831945176, Evaluations = 936
Generation 117: Best Solution = [ 3.3067584  -4.43838354], Best Fitness = 0.021272348831945176, Evaluations = 944
Generation 118: Best Solution = [ 3.3067584  -4.43838354], Best Fitness = 0.021272348831945176, Evaluations = 952
Generation 119: Best Solution = [ 3.3067584  -4.43838354], Best Fitness = 0.021272348831945176, Evaluations = 960
Generation 120: Best Solution = [ 3.3067584  -4.43838354], Best Fitness = 0.021272348831945176, Evaluations = 968
Generation 121: Best Solution = [ 3.3067584  -4.43838354], Best Fitness = 0.021272348831945176, Evaluations = 976
Generation 122: Best Solution = [ 3.3067584  -4.43838354], Best Fitness = 0.021272348831945176, Evaluations = 984
Generation 123: Best Solution = [ 3.3067584  -4.43838326], Best Fitness = 0.021272348831933297, Evaluations = 992
Generation 124: Best Solution = [ 3.3067584  -4.43838326], Best Fitness = 0.021272348831933297, Evaluations = 1000
Generation 125: Best Solution = [ 3.3067584  -4.43838326], Best Fitness = 0.021272348831933297, Evaluations = 1008
Generation 126: Best Solution = [ 3.3067584  -4.43838326], Best Fitness = 0.021272348831933297, Evaluations = 1016
Generation 127: Best Solution = [ 3.3067584  -4.43838328], Best Fitness = 0.021272348831932852, Evaluations = 1024
Generation 128: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193263, Evaluations = 1032
Generation 129: Best Solution = [ 3.3067584  -4.43838332], Best Fitness = 0.02127234883193263, Evaluations = 1040
Generation 130: Best Solution = [ 3.3067584 -4.4383833], Best Fitness = 0.02127234883193252, Evaluations = 1048
Generation 131: Best Solution = [ 3.3067584 -4.4383833], Best Fitness = 0.02127234883193252, Evaluations = 1056
Generation 132: Best Solution = [ 3.3067584 -4.4383833], Best Fitness = 0.02127234883193252, Evaluations = 1064
Generation 133: Best Solution = [ 3.3067584 -4.4383833], Best Fitness = 0.02127234883193252, Evaluations = 1072
Generation 134: Best Solution = [ 3.3067584 -4.4383833], Best Fitness = 0.02127234883193252, Evaluations = 1080
Generation 135: Best Solution = [ 3.3067584 -4.4383833], Best Fitness = 0.02127234883193252, Evaluations = 1088
Generation 136: Best Solution = [ 3.3067584 -4.4383833], Best Fitness = 0.02127234883193252, Evaluations = 1096
Generation 137: Best Solution = [ 3.3067584 -4.4383833], Best Fitness = 0.02127234883193252, Evaluations = 1104
Generation 138: Best Solution = [ 3.3067584 -4.4383833], Best Fitness = 0.02127234883193252, Evaluations = 1112
