Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 77: Best Solution = [-3.56168360e-07  1.48940316e-07], Best Fitness = 1.4903911816527894e-13, Evaluations = 624
Generation 78: Best Solution = [-3.56168360e-07  1.48940316e-07], Best Fitness = 9.330165566505157e-14, Evaluations = 632
Generation 79: Best Solution = [ 9.50372877e-08 -1.35601029e-07], Best Fitness = 2.7419725204967312e-14, Evaluations = 640
Generation 80: Best Solution = [ 9.50372877e-08 -1.35601029e-07], Best Fitness = 2.5763008737791877e-14, Evaluations = 648
Generation 81: Best Solution = [ 9.50372877e-08 -1.35601029e-07], Best Fitness = 1.8390615224530584e-14, Evaluations = 656
Generation 82: Best Solution = [ 9.50372877e-08 -1.35601029e-07], Best Fitness = 1.8390615224530584e-14, Evaluations = 664
Generation 83: Best Solution = [6.45129019e-08 1.34101486e-08], Best Fitness = 4.341746599803225e-15, Evaluations = 672
Generation 84: Best Solution = [6.45129019e-08 1.34101486e-08], Best Fitness = 4.341746599803225e-15, Evaluations = 680
Generation 85: Best Solution = [-6.49148841e-08  2.48838468e-09], Best Fitness = 4.220134231810405e-15, Evaluations = 688
Generation 86: Best Solution = [-6.49148841e-08  2.48838468e-09], Best Fitness = 4.220134231810405e-15, Evaluations = 696
Generation 87: Best Solution = [-1.72512871e-09  9.88534029e-09], Best Fitness = 1.0069602170642903e-16, Evaluations = 704
Generation 88: Best Solution = [-1.72512871e-09  9.88534029e-09], Best Fitness = 1.0069602170642903e-16, Evaluations = 712
Generation 89: Best Solution = [-4.18873363e-11  8.23227969e-09], Best Fitness = 6.777218345443729e-17, Evaluations = 720
Generation 90: Best Solution = [-4.18873363e-11  8.23227969e-09], Best Fitness = 6.777218345443729e-17, Evaluations = 728
Generation 91: Best Solution = [-4.18873363e-11  8.23227969e-09], Best Fitness = 6.777218345443729e-17, Evaluations = 736
Generation 92: Best Solution = [1.69258582e-09 2.10188513e-11], Best Fitness = 2.865288545687156e-18, Evaluations = 744
Generation 93: Best Solution = [1.69258582e-09 2.10188513e-11], Best Fitness = 2.865288545687156e-18, Evaluations = 752
Generation 94: Best Solution = [1.69258582e-09 2.10188513e-11], Best Fitness = 3.87756460712365e-19, Evaluations = 760
Generation 95: Best Solution = [1.69258582e-09 2.10188513e-11], Best Fitness = 3.87756460712365e-19, Evaluations = 768
Generation 96: Best Solution = [1.69258582e-09 2.10188513e-11], Best Fitness = 3.87756460712365e-19, Evaluations = 776
