Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 83: Best Solution = [-4.06243254e-07  2.84138111e-07], Best Fitness = 4.8757442527858075e-11, Evaluations = 1344
Generation 84: Best Solution = [1.58381702e-09 3.31314319e-07], Best Fitness = 2.177813485104707e-11, Evaluations = 1360
Generation 85: Best Solution = [1.58381702e-09 3.31314319e-07], Best Fitness = 2.177813485104707e-11, Evaluations = 1376
Generation 86: Best Solution = [1.58381702e-09 3.31314319e-07], Best Fitness = 2.177813485104707e-11, Evaluations = 1392
Generation 87: Best Solution = [6.52027119e-08 2.32624569e-08], Best Fitness = 9.485745522397337e-13, Evaluations = 1408
Generation 88: Best Solution = [-6.46617336e-08  1.02611509e-08], Best Fitness = 8.490985692333197e-13, Evaluations = 1424
Generation 89: Best Solution = [-6.46617336e-08  1.02611509e-08], Best Fitness = 8.490985692333197e-13, Evaluations = 1440
Generation 90: Best Solution = [-6.46617336e-08  1.02611509e-08], Best Fitness = 8.490985692333197e-13, Evaluations = 1456
Generation 91: Best Solution = [3.67266855e-08 1.57676100e-08], Best Fitness = 3.197442310920451e-13, Evaluations = 1472
Generation 92: Best Solution = [3.67266855e-08 1.57676100e-08], Best Fitness = 3.197442310920451e-13, Evaluations = 1488
Generation 93: Best Solution = [3.67266855e-08 1.57676100e-08], Best Fitness = 3.197442310920451e-13, Evaluations = 1504
Generation 94: Best Solution = [3.67266855e-08 1.57676100e-08], Best Fitness = 3.197442310920451e-13, Evaluations = 1520
Generation 95: Best Solution = [3.67266855e-08 1.57676100e-08], Best Fitness = 3.197442310920451e-13, Evaluations = 1536
Generation 96: Best Solution = [-8.91745395e-09  1.02611509e-08], Best Fitness = 3.552713678800501e-14, Evaluations = 1552
Generation 97: Best Solution = [-8.91745395e-09  1.02611509e-08], Best Fitness = 3.552713678800501e-14, Evaluations = 1568
Generation 98: Best Solution = [-1.28398987e-08 -7.57292460e-10], Best Fitness = 3.197442310920451e-14, Evaluations = 1584
Generation 99: Best Solution = [-1.28398987e-08 -7.57292460e-10], Best Fitness = 3.197442310920451e-14, Evaluations = 1600
