Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 92: Best Solution = [ 7.63844366e-09 -9.81270029e-09], Best Fitness = 3.110441371134698e-08, Evaluations = 744
Generation 93: Best Solution = [ 7.63844366e-09 -9.81270029e-09], Best Fitness = 3.110441371134698e-08, Evaluations = 752
Generation 94: Best Solution = [ 7.63844366e-09 -9.81270029e-09], Best Fitness = 3.110441371134698e-08, Evaluations = 760
Generation 95: Best Solution = [ 7.63844366e-09 -9.81270029e-09], Best Fitness = 3.110441371134698e-08, Evaluations = 768
Generation 96: Best Solution = [ 7.63844366e-09 -9.81270029e-09], Best Fitness = 2.295546908115398e-08, Evaluations = 776
Generation 97: Best Solution = [7.90619671e-09 7.61138143e-10], Best Fitness = 2.246548946871485e-08, Evaluations = 784
Generation 98: Best Solution = [7.90619671e-09 7.61138143e-10], Best Fitness = 2.246548946871485e-08, Evaluations = 792
Generation 99: Best Solution = [7.90619671e-09 7.61138143e-10], Best Fitness = 2.246548946871485e-08, Evaluations = 800
Generation 100: Best Solution = [-1.44220820e-09  3.96842341e-09], Best Fitness = 1.1942646427343107e-08, Evaluations = 808
Generation 101: Best Solution = [-5.81859597e-10 -5.79078771e-10], Best Fitness = 2.321883574296635e-09, Evaluations = 816
Generation 102: Best Solution = [-5.81859597e-10 -5.79078771e-10], Best Fitness = 2.321883574296635e-09, Evaluations = 824
Generation 103: Best Solution = [-5.81859597e-10 -5.79078771e-10], Best Fitness = 2.321883574296635e-09, Evaluations = 832
Generation 104: Best Solution = [-5.81859597e-10 -5.79078771e-10], Best Fitness = 2.321883574296635e-09, Evaluations = 840
Generation 105: Best Solution = [-5.81859597e-10 -5.79078771e-10], Best Fitness = 2.321883574296635e-09, Evaluations = 848
Generation 106: Best Solution = [-5.81859597e-10 -5.79078771e-10], Best Fitness = 2.321883574296635e-09, Evaluations = 856
Generation 107: Best Solution = [-1.37360803e-10  2.08813961e-10], Best Fitness = 7.069442808926851e-10, Evaluations = 864
Generation 108: Best Solution = [-1.37360803e-10  2.08813961e-10], Best Fitness = 7.069442808926851e-10, Evaluations = 872
Generation 109: Best Solution = [-1.37360803e-10  2.08813961e-10], Best Fitness = 5.801301661279012e-10, Evaluations = 880
Generation 110: Best Solution = [1.63459649e-10 2.56510662e-11], Best Fitness = 4.679923115702422e-10, Evaluations = 888
Generation 111: Best Solution = [-1.37360803e-10 -1.37081151e-11], Best Fitness = 3.904472301030637e-10, Evaluations = 896
Generation 112: Best Solution = [-1.37360803e-10 -1.37081151e-11], Best Fitness = 3.904472301030637e-10, Evaluations = 904
Generation 113: Best Solution = [-1.37360803e-10 -1.37081151e-11], Best Fitness = 3.904472301030637e-10, Evaluations = 912
Generation 114: Best Solution = [1.20858066e-10 2.56510662e-11], Best Fitness = 3.494524669633847e-10, Evaluations = 920
Generation 115: Best Solution = [-4.02730008e-11  9.89496982e-11], Best Fitness = 3.0216584789855006e-10, Evaluations = 928
Generation 116: Best Solution = [-4.02730008e-11  9.89496982e-11], Best Fitness = 3.0216584789855006e-10, Evaluations = 936
Generation 117: Best Solution = [-4.02730008e-11  9.89496982e-11], Best Fitness = 3.0216584789855006e-10, Evaluations = 944
Generation 118: Best Solution = [-1.99049558e-11  2.91221119e-11], Best Fitness = 9.977130233096432e-11, Evaluations = 952
Generation 119: Best Solution = [ 8.42243282e-12 -3.80637243e-12], Best Fitness = 2.6141311337823936e-11, Evaluations = 960
Generation 120: Best Solution = [ 8.42243282e-12 -3.80637243e-12], Best Fitness = 2.6141311337823936e-11, Evaluations = 968
Generation 121: Best Solution = [ 8.42243282e-12 -3.80637243e-12], Best Fitness = 2.6141311337823936e-11, Evaluations = 976
Generation 122: Best Solution = [ 8.42243282e-12 -3.80637243e-12], Best Fitness = 2.6141311337823936e-11, Evaluations = 984
Generation 123: Best Solution = [ 8.42243282e-12 -3.80637243e-12], Best Fitness = 1.3113510277662499e-11, Evaluations = 992
Generation 124: Best Solution = [ 8.42243282e-12 -3.80637243e-12], Best Fitness = 1.3113510277662499e-11, Evaluations = 1000
Generation 125: Best Solution = [ 8.42243282e-12 -3.80637243e-12], Best Fitness = 1.3113510277662499e-11, Evaluations = 1008
Generation 126: Best Solution = [ 8.42243282e-12 -3.80637243e-12], Best Fitness = 1.3113510277662499e-11, Evaluations = 1016
Generation 127: Best Solution = [ 8.42243282e-12 -3.80637243e-12], Best Fitness = 1.3113510277662499e-11, Evaluations = 1024
Generation 128: Best Solution = [ 8.42243282e-12 -3.80637243e-12], Best Fitness = 1.2321255127289987e-11, Evaluations = 1032
Generation 129: Best Solution = [4.39876896e-14 1.71595128e-12], Best Fitness = 4.857003688130135e-12, Evaluations = 1040
Generation 130: Best Solution = [4.39876896e-14 1.71595128e-12], Best Fitness = 4.857003688130135e-12, Evaluations = 1048
Generation 131: Best Solution = [4.39876896e-14 1.71595128e-12], Best Fitness = 4.857003688130135e-12, Evaluations = 1056
Generation 132: Best Solution = [ 1.08794135e-13 -4.92358320e-13], Best Fitness = 1.425082274408851e-12, Evaluations = 1064
Generation 133: Best Solution = [ 1.08794135e-13 -4.92358320e-13], Best Fitness = 1.425082274408851e-12, Evaluations = 1072
Generation 134: Best Solution = [ 1.08794135e-13 -4.92358320e-13], Best Fitness = 1.425082274408851e-12, Evaluations = 1080
Generation 135: Best Solution = [ 1.08794135e-13 -4.92358320e-13], Best Fitness = 1.389555137620846e-12, Evaluations = 1088
Generation 136: Best Solution = [ 1.08794135e-13 -4.92358320e-13], Best Fitness = 1.389555137620846e-12, Evaluations = 1096
Generation 137: Best Solution = [ 1.08794135e-13 -4.92358320e-13], Best Fitness = 1.2723155862204294e-12, Evaluations = 1104
Generation 138: Best Solution = [1.43491757e-13 1.16770465e-13], Best Fitness = 5.262457136723242e-13, Evaluations = 1112
Generation 139: Best Solution = [1.59277527e-13 5.50023423e-14], Best Fitness = 4.765077221691172e-13, Evaluations = 1120
Generation 140: Best Solution = [1.59277527e-13 5.50023423e-14], Best Fitness = 4.765077221691172e-13, Evaluations = 1128
Generation 141: Best Solution = [1.59277527e-13 5.50023423e-14], Best Fitness = 4.765077221691172e-13, Evaluations = 1136
Generation 142: Best Solution = [-2.30626123e-14  5.89220552e-14], Best Fitness = 1.816324868286756e-13, Evaluations = 1144
Generation 143: Best Solution = [-4.35240526e-14 -2.04777235e-14], Best Fitness = 1.354472090042691e-13, Evaluations = 1152
Generation 144: Best Solution = [-4.35240526e-14 -2.04777235e-14], Best Fitness = 1.354472090042691e-13, Evaluations = 1160
Generation 145: Best Solution = [-4.35240526e-14 -2.04777235e-14], Best Fitness = 1.354472090042691e-13, Evaluations = 1168
Generation 146: Best Solution = [-3.23896603e-14  3.34221010e-15], Best Fitness = 9.281464485866309e-14, Evaluations = 1176
Generation 147: Best Solution = [-3.23896603e-14  3.34221010e-15], Best Fitness = 9.281464485866309e-14, Evaluations = 1184
Generation 148: Best Solution = [-3.23896603e-14  3.34221010e-15], Best Fitness = 9.281464485866309e-14, Evaluations = 1192
Generation 149: Best Solution = [ 1.06936444e-14 -2.48654779e-14], Best Fitness = 7.505107646466058e-14, Evaluations = 1200
Generation 150: Best Solution = [-7.82385798e-15 -1.60899692e-14], Best Fitness = 5.0182080713057076e-14, Evaluations = 1208
Generation 151: Best Solution = [-7.82385798e-15 -1.60899692e-14], Best Fitness = 5.0182080713057076e-14, Evaluations = 1216
Generation 152: Best Solution = [7.08811098e-15 5.09731184e-15], Best Fitness = 2.531308496145357e-14, Evaluations = 1224
Generation 153: Best Solution = [-3.60439314e-15 -4.50964177e-15], Best Fitness = 1.4654943925052066e-14, Evaluations = 1232
Generation 154: Best Solution = [-3.60439314e-15 -4.50964177e-15], Best Fitness = 1.4654943925052066e-14, Evaluations = 1240
Generation 155: Best Solution = [-3.60439314e-15 -4.50964177e-15], Best Fitness = 1.4654943925052066e-14, Evaluations = 1248
Generation 156: Best Solution = [-3.60439314e-15 -4.50964177e-15], Best Fitness = 1.4654943925052066e-14, Evaluations = 1256
Generation 157: Best Solution = [ 5.42944627e-16 -2.72705230e-15], Best Fitness = 7.549516567451064e-15, Evaluations = 1264
Generation 158: Best Solution = [ 5.42944627e-16 -2.72705230e-15], Best Fitness = 7.549516567451064e-15, Evaluations = 1272
Generation 159: Best Solution = [ 5.42944627e-16 -2.72705230e-15], Best Fitness = 7.549516567451064e-15, Evaluations = 1280
Generation 160: Best Solution = [ 5.42944627e-16 -2.72705230e-15], Best Fitness = 7.549516567451064e-15, Evaluations = 1288
Generation 161: Best Solution = [-8.14100366e-16 -3.92184906e-17], Best Fitness = 3.9968028886505635e-15, Evaluations = 1296
Generation 162: Best Solution = [-8.14100366e-16 -3.92184906e-17], Best Fitness = 3.9968028886505635e-15, Evaluations = 1304
Generation 163: Best Solution = [-8.14100366e-16 -3.92184906e-17], Best Fitness = 3.9968028886505635e-15, Evaluations = 1312
Generation 164: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1320
Generation 165: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1328
Generation 166: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1336
Generation 167: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1344
Generation 168: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1352
Generation 169: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1360
Generation 170: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1368
Generation 171: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1376
Generation 172: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1384
Generation 173: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1392
Generation 174: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1400
Generation 175: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1408
Generation 176: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1416
Generation 177: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1424
Generation 178: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1432
Generation 179: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1440
Generation 180: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1448
Generation 181: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1456
Generation 182: Best Solution = [ 3.60761836e-16 -1.08444431e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1464
