Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 78: Best Solution = [0.00086005 0.00763608], Best Fitness = 1.4961997935492022e-05, Evaluations = 1264
Generation 79: Best Solution = [0.00086005 0.00763608], Best Fitness = 1.4961997935492022e-05, Evaluations = 1280
Generation 80: Best Solution = [0.00086005 0.00763608], Best Fitness = 1.4961997935492022e-05, Evaluations = 1296
Generation 81: Best Solution = [0.00086005 0.00763608], Best Fitness = 1.4961997935492022e-05, Evaluations = 1312
Generation 82: Best Solution = [0.00086005 0.00763608], Best Fitness = 1.4961997935492022e-05, Evaluations = 1328
Generation 83: Best Solution = [0.00086005 0.00763608], Best Fitness = 1.4961997935492022e-05, Evaluations = 1344
Generation 84: Best Solution = [0.00086005 0.00763608], Best Fitness = 1.4961997935492022e-05, Evaluations = 1360
Generation 85: Best Solution = [ 0.00363901 -0.00470829], Best Fitness = 1.217199354253129e-05, Evaluations = 1376
Generation 86: Best Solution = [ 0.00086005 -0.00177525], Best Fitness = 1.1586965079635192e-06, Evaluations = 1392
Generation 87: Best Solution = [ 0.00086005 -0.00177525], Best Fitness = 1.1586965079635192e-06, Evaluations = 1408
Generation 88: Best Solution = [ 0.00086005 -0.00177525], Best Fitness = 1.1586965079635192e-06, Evaluations = 1424
Generation 89: Best Solution = [ 0.00086005 -0.00177525], Best Fitness = 1.1586965079635192e-06, Evaluations = 1440
Generation 90: Best Solution = [0.00042477 0.00034815], Best Fitness = 1.2059337084480148e-07, Evaluations = 1456
Generation 91: Best Solution = [0.00042477 0.00034815], Best Fitness = 1.2059337084480148e-07, Evaluations = 1472
Generation 92: Best Solution = [0.00042477 0.00034815], Best Fitness = 1.2059337084480148e-07, Evaluations = 1488
Generation 93: Best Solution = [0.00042477 0.00034815], Best Fitness = 1.2059337084480148e-07, Evaluations = 1504
Generation 94: Best Solution = [0.00042477 0.00034815], Best Fitness = 1.2059337084480148e-07, Evaluations = 1520
Generation 95: Best Solution = [0.00042477 0.00034815], Best Fitness = 1.2059337084480148e-07, Evaluations = 1536
Generation 96: Best Solution = [0.00042477 0.00034815], Best Fitness = 1.2059337084480148e-07, Evaluations = 1552
Generation 97: Best Solution = [-0.00017223  0.00020388], Best Fitness = 2.5240338152876518e-08, Evaluations = 1568
Generation 98: Best Solution = [ 4.23257951e-05 -5.24909686e-05], Best Fitness = 1.5856985724482797e-09, Evaluations = 1584
Generation 99: Best Solution = [ 4.23257951e-05 -5.24909686e-05], Best Fitness = 1.5856985724482797e-09, Evaluations = 1600
