Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 176: Best Solution = [1.10324459 1.21821796], Best Fitness = 0.01077379428082707, Evaluations = 1416
Generation 177: Best Solution = [1.10139086 1.21390473], Best Fitness = 0.010351155054797669, Evaluations = 1424
Generation 178: Best Solution = [1.10139086 1.21390473], Best Fitness = 0.010351155054797669, Evaluations = 1432
Generation 179: Best Solution = [1.09686229 1.20401227], Best Fitness = 0.009464276097690254, Evaluations = 1440
Generation 180: Best Solution = [1.09686229 1.20401227], Best Fitness = 0.009464276097690254, Evaluations = 1448
Generation 181: Best Solution = [1.09647351 1.20349303], Best Fitness = 0.00946061823083185, Evaluations = 1456
Generation 182: Best Solution = [1.09227525 1.19425668], Best Fitness = 0.008656678944764256, Evaluations = 1464
Generation 183: Best Solution = [1.09009259 1.1897394 ], Best Fitness = 0.008323329568443628, Evaluations = 1472
Generation 184: Best Solution = [1.09009259 1.1897394 ], Best Fitness = 0.008323329568443628, Evaluations = 1480
Generation 185: Best Solution = [1.08589433 1.18050305], Best Fitness = 0.007556474797009439, Evaluations = 1488
Generation 186: Best Solution = [1.08589433 1.18050305], Best Fitness = 0.007556474797009439, Evaluations = 1496
Generation 187: Best Solution = [1.08589433 1.18050305], Best Fitness = 0.007556474797009439, Evaluations = 1504
Generation 188: Best Solution = [1.08115554 1.17051205], Best Fitness = 0.006846961423699224, Evaluations = 1512
Generation 189: Best Solution = [1.08115554 1.17051205], Best Fitness = 0.006846961423699224, Evaluations = 1520
Generation 190: Best Solution = [1.0796384 1.1670439], Best Fitness = 0.006545290717518392, Evaluations = 1528
Generation 191: Best Solution = [1.0796384 1.1670439], Best Fitness = 0.006545290717518392, Evaluations = 1536
Generation 192: Best Solution = [1.0796384 1.1670439], Best Fitness = 0.006545290717518392, Evaluations = 1544
Generation 193: Best Solution = [1.0714056  1.14947224], Best Fitness = 0.005342835757749206, Evaluations = 1552
Generation 194: Best Solution = [1.0714056  1.14947224], Best Fitness = 0.005235793828003628, Evaluations = 1560
Generation 195: Best Solution = [1.0714056  1.14947224], Best Fitness = 0.005235793828003628, Evaluations = 1568
Generation 196: Best Solution = [1.0714056  1.14947224], Best Fitness = 0.005235793828003628, Evaluations = 1576
Generation 197: Best Solution = [1.0714056  1.14947224], Best Fitness = 0.005235793828003628, Evaluations = 1584
Generation 198: Best Solution = [1.0714056  1.14947224], Best Fitness = 0.005235793828003628, Evaluations = 1592
Generation 199: Best Solution = [1.0714056  1.14947224], Best Fitness = 0.005235793828003628, Evaluations = 1600
Generation 200: Best Solution = [1.0714056  1.14947224], Best Fitness = 0.005235793828003628, Evaluations = 1608
Generation 201: Best Solution = [1.06593755 1.13695147], Best Fitness = 0.0044008476481749645, Evaluations = 1616
Generation 202: Best Solution = [1.06593755 1.13695147], Best Fitness = 0.0044008476481749645, Evaluations = 1624
Generation 203: Best Solution = [1.06593755 1.13695147], Best Fitness = 0.0044008476481749645, Evaluations = 1632
Generation 204: Best Solution = [1.06593755 1.13695147], Best Fitness = 0.0044008476481749645, Evaluations = 1640
Generation 205: Best Solution = [1.06593755 1.13695147], Best Fitness = 0.0044008476481749645, Evaluations = 1648
Generation 206: Best Solution = [1.06593755 1.13695147], Best Fitness = 0.0044008476481749645, Evaluations = 1656
Generation 207: Best Solution = [1.06593755 1.13695147], Best Fitness = 0.0044008476481749645, Evaluations = 1664
Generation 208: Best Solution = [1.06593755 1.13695147], Best Fitness = 0.0044008476481749645, Evaluations = 1672
Generation 209: Best Solution = [1.06593755 1.13695147], Best Fitness = 0.0044008476481749645, Evaluations = 1680
Generation 210: Best Solution = [1.06593755 1.13695147], Best Fitness = 0.0044008476481749645, Evaluations = 1688
Generation 211: Best Solution = [1.06593755 1.13695147], Best Fitness = 0.0044008476481749645, Evaluations = 1696
Generation 212: Best Solution = [1.06593755 1.13695147], Best Fitness = 0.0044008476481749645, Evaluations = 1704
Generation 213: Best Solution = [1.06593755 1.13695147], Best Fitness = 0.0044008476481749645, Evaluations = 1712
Generation 214: Best Solution = [1.06530683 1.1350201 ], Best Fitness = 0.0042669829460097505, Evaluations = 1720
Generation 215: Best Solution = [1.06530683 1.1350201 ], Best Fitness = 0.0042669829460097505, Evaluations = 1728
Generation 216: Best Solution = [1.06418318 1.13278597], Best Fitness = 0.004128488589653114, Evaluations = 1736
Generation 217: Best Solution = [1.0637645  1.13143401], Best Fitness = 0.0040685009036520794, Evaluations = 1744
Generation 218: Best Solution = [1.0637645  1.13143401], Best Fitness = 0.0040685009036520794, Evaluations = 1752
Generation 219: Best Solution = [1.0637645  1.13143401], Best Fitness = 0.0040685009036520794, Evaluations = 1760
Generation 220: Best Solution = [1.0637645  1.13143401], Best Fitness = 0.0040685009036520794, Evaluations = 1768
Generation 221: Best Solution = [1.0637645  1.13143401], Best Fitness = 0.0040685009036520794, Evaluations = 1776
Generation 222: Best Solution = [1.06139991 1.12697792], Best Fitness = 0.0037866078224380187, Evaluations = 1784
Generation 223: Best Solution = [1.06139991 1.12697792], Best Fitness = 0.0037866078224380187, Evaluations = 1792
Generation 224: Best Solution = [1.06139991 1.12697792], Best Fitness = 0.0037866078224380187, Evaluations = 1800
Generation 225: Best Solution = [1.05685129 1.11726783], Best Fitness = 0.003243170281254293, Evaluations = 1808
Generation 226: Best Solution = [1.05432602 1.11237625], Best Fitness = 0.0030110526329181577, Evaluations = 1816
Generation 227: Best Solution = [1.05432602 1.11237625], Best Fitness = 0.0030110526329181577, Evaluations = 1824
Generation 228: Best Solution = [1.0503224  1.10354863], Best Fitness = 0.0025461441990858747, Evaluations = 1832
