Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 102: Best Solution = [2.46823604e-10 6.58215017e-10], Best Fitness = 1.9883050761393406e-09, Evaluations = 1648
Generation 103: Best Solution = [2.46823604e-10 6.58215017e-10], Best Fitness = 1.9883050761393406e-09, Evaluations = 1664
Generation 104: Best Solution = [2.46823604e-10 6.58215017e-10], Best Fitness = 1.9883050761393406e-09, Evaluations = 1680
Generation 105: Best Solution = [2.46823604e-10 6.58215017e-10], Best Fitness = 1.9883050761393406e-09, Evaluations = 1696
Generation 106: Best Solution = [2.46823604e-10 6.58215017e-10], Best Fitness = 1.9883050761393406e-09, Evaluations = 1712
Generation 107: Best Solution = [2.46823604e-10 6.58215017e-10], Best Fitness = 1.9883050761393406e-09, Evaluations = 1728
Generation 108: Best Solution = [2.46823604e-10 6.58215017e-10], Best Fitness = 1.9883050761393406e-09, Evaluations = 1744
Generation 109: Best Solution = [-1.56190881e-10 -2.31759056e-10], Best Fitness = 7.904827903360001e-10, Evaluations = 1760
Generation 110: Best Solution = [-1.56190881e-10 -2.31759056e-10], Best Fitness = 7.904827903360001e-10, Evaluations = 1776
Generation 111: Best Solution = [1.33400196e-10 1.75160201e-10], Best Fitness = 6.227485194187921e-10, Evaluations = 1792
Generation 112: Best Solution = [ 2.01730758e-10 -7.30334741e-11], Best Fitness = 6.068252567104082e-10, Evaluations = 1808
Generation 113: Best Solution = [ 1.46953171e-10 -1.48225765e-10], Best Fitness = 5.903619815228467e-10, Evaluations = 1824
Generation 114: Best Solution = [ 1.46953171e-10 -1.48225765e-10], Best Fitness = 5.903619815228467e-10, Evaluations = 1840
Generation 115: Best Solution = [ 1.68279122e-11 -1.10037541e-10], Best Fitness = 3.1485258844554664e-10, Evaluations = 1856
Generation 116: Best Solution = [ 1.68279122e-11 -1.10037541e-10], Best Fitness = 3.1485258844554664e-10, Evaluations = 1872
Generation 117: Best Solution = [-7.37744824e-11  1.50405050e-12], Best Fitness = 2.0870816186402408e-10, Evaluations = 1888
Generation 118: Best Solution = [-7.37744824e-11  1.50405050e-12], Best Fitness = 2.0870816186402408e-10, Evaluations = 1904
Generation 119: Best Solution = [1.56359768e-11 1.50405050e-12], Best Fitness = 4.4430681356288915e-11, Evaluations = 1920
Generation 120: Best Solution = [1.56359768e-11 1.50405050e-12], Best Fitness = 4.4430681356288915e-11, Evaluations = 1936
Generation 121: Best Solution = [1.56359768e-11 1.50405050e-12], Best Fitness = 4.4430681356288915e-11, Evaluations = 1952
Generation 122: Best Solution = [1.56359768e-11 1.50405050e-12], Best Fitness = 4.4430681356288915e-11, Evaluations = 1968
Generation 123: Best Solution = [1.56359768e-11 1.50405050e-12], Best Fitness = 4.4430681356288915e-11, Evaluations = 1984
Generation 124: Best Solution = [1.45740039e-13 1.13999549e-11], Best Fitness = 3.2248426151682e-11, Evaluations = 2000
