Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 115: Best Solution = [1.13483309e-06 8.80213491e-07], Best Fitness = 8.382183835919932e-13, Evaluations = 1856
Generation 116: Best Solution = [1.13483309e-06 8.80213491e-07], Best Fitness = 8.382183835919932e-13, Evaluations = 1872
Generation 117: Best Solution = [1.13483309e-06 8.80213491e-07], Best Fitness = 2.4080737404119645e-13, Evaluations = 1888
Generation 118: Best Solution = [1.13483309e-06 8.80213491e-07], Best Fitness = 2.4080737404119645e-13, Evaluations = 1904
Generation 119: Best Solution = [-7.78270880e-08 -1.45288157e-07], Best Fitness = 8.326672684688674e-15, Evaluations = 1920
Generation 120: Best Solution = [-7.78270880e-08 -1.45288157e-07], Best Fitness = 8.326672684688674e-15, Evaluations = 1936
Generation 121: Best Solution = [-7.78270880e-08 -1.45288157e-07], Best Fitness = 8.326672684688674e-15, Evaluations = 1952
Generation 122: Best Solution = [-7.78270880e-08 -1.45288157e-07], Best Fitness = 8.326672684688674e-15, Evaluations = 1968
Generation 123: Best Solution = [-7.78270880e-08 -1.45288157e-07], Best Fitness = 8.326672684688674e-15, Evaluations = 1984
Generation 124: Best Solution = [-7.78270880e-08 -1.45288157e-07], Best Fitness = 8.326672684688674e-15, Evaluations = 2000
