Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 44: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 720
Generation 45: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 736
Generation 46: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 752
Generation 47: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 768
Generation 48: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 784
Generation 49: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 800
Generation 50: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 816
Generation 51: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 832
Generation 52: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 848
Generation 53: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 864
Generation 54: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 880
Generation 55: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 896
Generation 56: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 912
Generation 57: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 928
Generation 58: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 944
Generation 59: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 960
Generation 60: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 976
Generation 61: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 992
Generation 62: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 1008
Generation 63: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 1024
Generation 64: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 1040
Generation 65: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 1056
Generation 66: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 1072
Generation 67: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 1088
Generation 68: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 1104
Generation 69: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 1120
Generation 70: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 1136
Generation 71: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 1152
Generation 72: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 1168
Generation 73: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 1184
Generation 74: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 1200
Generation 75: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 1216
Generation 76: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 1232
Generation 77: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 1248
Generation 78: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 1264
Generation 79: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 1280
Generation 80: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 1296
Generation 81: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 1312
Generation 82: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 1328
Generation 83: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.019056237468884407, Evaluations = 1344
Generation 84: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.017953673865657604, Evaluations = 1360
Generation 85: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.017953673865657604, Evaluations = 1376
Generation 86: Best Solution = [-6.40693875  0.06794778], Best Fitness = 0.017953673865657604, Evaluations = 1392
Generation 87: Best Solution = [ 0.07953147 -0.0252998 ], Best Fitness = 0.003322212281400394, Evaluations = 1408
Generation 88: Best Solution = [ 0.07953147 -0.0252998 ], Best Fitness = 0.003322212281400394, Evaluations = 1424
Generation 89: Best Solution = [ 0.07953147 -0.0252998 ], Best Fitness = 0.003322212281400394, Evaluations = 1440
Generation 90: Best Solution = [ 0.07953147 -0.0252998 ], Best Fitness = 0.003322212281400394, Evaluations = 1456
Generation 91: Best Solution = [ 0.07953147 -0.0252998 ], Best Fitness = 0.003322212281400394, Evaluations = 1472
Generation 92: Best Solution = [ 0.07953147 -0.0252998 ], Best Fitness = 0.003322212281400394, Evaluations = 1488
Generation 93: Best Solution = [ 0.07953147 -0.0252998 ], Best Fitness = 0.003322212281400394, Evaluations = 1504
Generation 94: Best Solution = [ 0.07953147 -0.0252998 ], Best Fitness = 0.003322212281400394, Evaluations = 1520
Generation 95: Best Solution = [ 0.07953147 -0.0252998 ], Best Fitness = 0.003322212281400394, Evaluations = 1536
Generation 96: Best Solution = [ 0.07953147 -0.0252998 ], Best Fitness = 0.003322212281400394, Evaluations = 1552
