Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 81: Best Solution = [-2.01458362e-08 -4.82532375e-08], Best Fitness = 5.400124791776761e-13, Evaluations = 1312
Generation 82: Best Solution = [-2.01458362e-08 -4.82532375e-08], Best Fitness = 5.400124791776761e-13, Evaluations = 1328
Generation 83: Best Solution = [-1.63394324e-08 -2.70584349e-08], Best Fitness = 1.9539925233402755e-13, Evaluations = 1344
Generation 84: Best Solution = [-7.55070231e-09 -8.88258397e-09], Best Fitness = 2.842170943040401e-14, Evaluations = 1360
Generation 85: Best Solution = [-7.55070231e-09 -8.88258397e-09], Best Fitness = 2.842170943040401e-14, Evaluations = 1376
Generation 86: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1392
Generation 87: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1408
Generation 88: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1424
Generation 89: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1440
Generation 90: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1456
Generation 91: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1472
Generation 92: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1488
Generation 93: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1504
Generation 94: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1520
Generation 95: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1536
Generation 96: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1552
Generation 97: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1568
Generation 98: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1584
Generation 99: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1600
Generation 100: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1616
Generation 101: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1632
Generation 102: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1648
Generation 103: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1664
Generation 104: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1680
Generation 105: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1696
Generation 106: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1712
Generation 107: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1728
Generation 108: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1744
Generation 109: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1760
Generation 110: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1776
Generation 111: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1792
Generation 112: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1808
Generation 113: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1824
Generation 114: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1840
Generation 115: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1856
Generation 116: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1872
Generation 117: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1888
Generation 118: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1904
Generation 119: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1920
Generation 120: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1936
Generation 121: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1952
Generation 122: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1968
Generation 123: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 1984
Generation 124: Best Solution = [-2.29664991e-09  5.84600599e-10], Best Fitness = 0.0, Evaluations = 2000
