Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 85: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 688
Generation 86: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 696
Generation 87: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 704
Generation 88: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 712
Generation 89: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 720
Generation 90: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 728
Generation 91: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 736
Generation 92: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 744
Generation 93: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 752
Generation 94: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.028030339333411147, Evaluations = 760
Generation 95: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.02473128802766944, Evaluations = 768
Generation 96: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.02473128802766944, Evaluations = 776
Generation 97: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 784
Generation 98: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 792
Generation 99: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 800
Generation 100: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 808
Generation 101: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 816
Generation 102: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 824
Generation 103: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 832
Generation 104: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 840
Generation 105: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 848
Generation 106: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 856
Generation 107: Best Solution = [-3.0900009  -4.71735277], Best Fitness = 0.010477917369003054, Evaluations = 864
