Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 96: Best Solution = [0.98639285 0.97732826], Best Fitness = 0.0020838512714440815, Evaluations = 776
Generation 97: Best Solution = [0.98639285 0.97732826], Best Fitness = 0.0020838512714440815, Evaluations = 784
Generation 98: Best Solution = [0.98639285 0.97732826], Best Fitness = 0.0020838512714440815, Evaluations = 792
Generation 99: Best Solution = [0.98639285 0.97732826], Best Fitness = 0.0020838512714440815, Evaluations = 800
Generation 100: Best Solution = [1.03983434 1.08302829], Best Fitness = 0.0019010682973133106, Evaluations = 808
Generation 101: Best Solution = [0.98867298 0.97991706], Best Fitness = 0.0007250285226959777, Evaluations = 816
Generation 102: Best Solution = [1.00933967 1.02060119], Best Fitness = 0.00042380966890850224, Evaluations = 824
Generation 103: Best Solution = [1.00933967 1.02060119], Best Fitness = 0.00042380966890850224, Evaluations = 832
Generation 104: Best Solution = [1.00933967 1.02060119], Best Fitness = 0.00042380966890850224, Evaluations = 840
Generation 105: Best Solution = [1.00933967 1.02060119], Best Fitness = 0.00042380966890850224, Evaluations = 848
Generation 106: Best Solution = [1.00933967 1.02060119], Best Fitness = 0.00042380966890850224, Evaluations = 856
Generation 107: Best Solution = [1.00933967 1.02060119], Best Fitness = 0.00042380966890850224, Evaluations = 864
Generation 108: Best Solution = [1.00933967 1.02060119], Best Fitness = 0.00042380966890850224, Evaluations = 872
Generation 109: Best Solution = [1.00933967 1.02060119], Best Fitness = 0.00042380966890850224, Evaluations = 880
Generation 110: Best Solution = [1.00933967 1.02060119], Best Fitness = 0.00042380966890850224, Evaluations = 888
Generation 111: Best Solution = [0.99391793 0.98762842], Best Fitness = 4.2966079765460054e-05, Evaluations = 896
Generation 112: Best Solution = [0.99391793 0.98762842], Best Fitness = 4.2966079765460054e-05, Evaluations = 904
Generation 113: Best Solution = [0.99391793 0.98762842], Best Fitness = 4.2966079765460054e-05, Evaluations = 912
Generation 114: Best Solution = [0.99391793 0.98762842], Best Fitness = 4.2966079765460054e-05, Evaluations = 920
Generation 115: Best Solution = [0.99391793 0.98762842], Best Fitness = 4.2966079765460054e-05, Evaluations = 928
Generation 116: Best Solution = [0.99391793 0.98762842], Best Fitness = 4.2966079765460054e-05, Evaluations = 936
Generation 117: Best Solution = [0.99391793 0.98762842], Best Fitness = 4.2966079765460054e-05, Evaluations = 944
Generation 118: Best Solution = [0.99391793 0.98762842], Best Fitness = 4.2966079765460054e-05, Evaluations = 952
Generation 119: Best Solution = [0.99391793 0.98762842], Best Fitness = 4.2966079765460054e-05, Evaluations = 960
Generation 120: Best Solution = [1.00222588 1.0044417 ], Best Fitness = 4.977046010788367e-06, Evaluations = 968
Generation 121: Best Solution = [1.00222588 1.0044417 ], Best Fitness = 4.977046010788367e-06, Evaluations = 976
Generation 122: Best Solution = [1.00222588 1.0044417 ], Best Fitness = 4.977046010788367e-06, Evaluations = 984
Generation 123: Best Solution = [1.00222588 1.0044417 ], Best Fitness = 4.977046010788367e-06, Evaluations = 992
Generation 124: Best Solution = [1.00222588 1.0044417 ], Best Fitness = 4.977046010788367e-06, Evaluations = 1000
Generation 125: Best Solution = [1.00222588 1.0044417 ], Best Fitness = 4.977046010788367e-06, Evaluations = 1008
Generation 126: Best Solution = [1.00222588 1.0044417 ], Best Fitness = 4.977046010788367e-06, Evaluations = 1016
Generation 127: Best Solution = [1.00222588 1.0044417 ], Best Fitness = 4.977046010788367e-06, Evaluations = 1024
Generation 128: Best Solution = [1.00222588 1.0044417 ], Best Fitness = 4.977046010788367e-06, Evaluations = 1032
Generation 129: Best Solution = [1.00222588 1.0044417 ], Best Fitness = 4.977046010788367e-06, Evaluations = 1040
Generation 130: Best Solution = [1.00222588 1.0044417 ], Best Fitness = 4.977046010788367e-06, Evaluations = 1048
Generation 131: Best Solution = [0.99868594 0.99751027], Best Fitness = 3.5942425427887285e-06, Evaluations = 1056
Generation 132: Best Solution = [0.99868594 0.99751027], Best Fitness = 3.5942425427887285e-06, Evaluations = 1064
Generation 133: Best Solution = [1.0005974  1.00135523], Best Fitness = 2.9190469867410195e-06, Evaluations = 1072
Generation 134: Best Solution = [1.00034781 1.00060275], Best Fitness = 9.857625604417136e-07, Evaluations = 1080
Generation 135: Best Solution = [1.00034781 1.00060275], Best Fitness = 9.857625604417136e-07, Evaluations = 1088
Generation 136: Best Solution = [1.00034781 1.00060275], Best Fitness = 9.857625604417136e-07, Evaluations = 1096
Generation 137: Best Solution = [1.00034781 1.00060275], Best Fitness = 9.857625604417136e-07, Evaluations = 1104
Generation 138: Best Solution = [1.00034781 1.00060275], Best Fitness = 9.857625604417136e-07, Evaluations = 1112
Generation 139: Best Solution = [1.00034781 1.00060275], Best Fitness = 9.857625604417136e-07, Evaluations = 1120
Generation 140: Best Solution = [1.00069503 1.00135523], Best Fitness = 6.077078737847106e-07, Evaluations = 1128
Generation 141: Best Solution = [1.00069503 1.00135523], Best Fitness = 6.077078737847106e-07, Evaluations = 1136
