Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 82: Best Solution = [-9.96608742e-10 -8.03361084e-11], Best Fitness = 9.996828747597592e-19, Evaluations = 1328
Generation 83: Best Solution = [-9.96608742e-10 -8.03361084e-11], Best Fitness = 9.996828747597592e-19, Evaluations = 1344
Generation 84: Best Solution = [ 2.19644256e-10 -5.90299567e-11], Best Fitness = 5.1728134805580406e-20, Evaluations = 1360
Generation 85: Best Solution = [ 2.19644256e-10 -5.90299567e-11], Best Fitness = 5.1728134805580406e-20, Evaluations = 1376
Generation 86: Best Solution = [ 2.19644256e-10 -5.90299567e-11], Best Fitness = 5.1728134805580406e-20, Evaluations = 1392
Generation 87: Best Solution = [ 2.19644256e-10 -5.90299567e-11], Best Fitness = 5.1728134805580406e-20, Evaluations = 1408
Generation 88: Best Solution = [-1.26818274e-10 -5.90299567e-11], Best Fitness = 1.956741031964274e-20, Evaluations = 1424
Generation 89: Best Solution = [-1.26818274e-10 -5.90299567e-11], Best Fitness = 1.956741031964274e-20, Evaluations = 1440
Generation 90: Best Solution = [-1.26818274e-10 -5.90299567e-11], Best Fitness = 1.956741031964274e-20, Evaluations = 1456
Generation 91: Best Solution = [-1.26818274e-10 -5.90299567e-11], Best Fitness = 1.956741031964274e-20, Evaluations = 1472
Generation 92: Best Solution = [1.20563186e-10 7.07372751e-11], Best Fitness = 1.9539243867418526e-20, Evaluations = 1488
Generation 93: Best Solution = [1.20563186e-10 7.07372751e-11], Best Fitness = 5.7273387179429274e-21, Evaluations = 1504
Generation 94: Best Solution = [1.20563186e-10 7.07372751e-11], Best Fitness = 5.7273387179429274e-21, Evaluations = 1520
Generation 95: Best Solution = [1.20563186e-10 7.07372751e-11], Best Fitness = 5.7273387179429274e-21, Evaluations = 1536
Generation 96: Best Solution = [-1.55578362e-11 -1.83770956e-11], Best Fitness = 5.797639091048392e-22, Evaluations = 1552
Generation 97: Best Solution = [-1.55578362e-11 -1.83770956e-11], Best Fitness = 5.797639091048392e-22, Evaluations = 1568
Generation 98: Best Solution = [-1.55578362e-11 -1.83770956e-11], Best Fitness = 5.797639091048392e-22, Evaluations = 1584
Generation 99: Best Solution = [-1.55578362e-11 -1.83770956e-11], Best Fitness = 5.797639091048392e-22, Evaluations = 1600
Generation 100: Best Solution = [-1.55578362e-11 -1.83770956e-11], Best Fitness = 5.797639091048392e-22, Evaluations = 1616
Generation 101: Best Solution = [-1.55578362e-11 -1.83770956e-11], Best Fitness = 5.797639091048392e-22, Evaluations = 1632
Generation 102: Best Solution = [-1.11564799e-11 -2.60352922e-12], Best Fitness = 1.3124540845333772e-22, Evaluations = 1648
Generation 103: Best Solution = [7.94786319e-12 2.34782483e-12], Best Fitness = 6.868081073034555e-23, Evaluations = 1664
Generation 104: Best Solution = [7.94786319e-12 2.34782483e-12], Best Fitness = 6.868081073034555e-23, Evaluations = 1680
Generation 105: Best Solution = [-4.31217177e-12  4.56153145e-12], Best Fitness = 3.9402394462851147e-23, Evaluations = 1696
Generation 106: Best Solution = [-5.29676902e-13  3.80043600e-12], Best Fitness = 1.4723871383950905e-23, Evaluations = 1712
Generation 107: Best Solution = [-5.29676902e-13  3.80043600e-12], Best Fitness = 1.4723871383950905e-23, Evaluations = 1728
Generation 108: Best Solution = [-5.29676902e-13  3.80043600e-12], Best Fitness = 1.4723871383950905e-23, Evaluations = 1744
Generation 109: Best Solution = [-5.29676902e-13  3.80043600e-12], Best Fitness = 1.4723871383950905e-23, Evaluations = 1760
Generation 110: Best Solution = [ 1.17969900e-12 -5.39559785e-13], Best Fitness = 1.6828144958230275e-24, Evaluations = 1776
Generation 111: Best Solution = [ 1.17969900e-12 -5.39559785e-13], Best Fitness = 9.644231961106663e-25, Evaluations = 1792
Generation 112: Best Solution = [ 1.17969900e-12 -5.39559785e-13], Best Fitness = 9.644231961106663e-25, Evaluations = 1808
Generation 113: Best Solution = [ 1.17969900e-12 -5.39559785e-13], Best Fitness = 9.644231961106663e-25, Evaluations = 1824
Generation 114: Best Solution = [ 7.47042318e-13 -5.86226897e-14], Best Fitness = 5.615088452441986e-25, Evaluations = 1840
Generation 115: Best Solution = [ 7.47042318e-13 -5.86226897e-14], Best Fitness = 5.615088452441986e-25, Evaluations = 1856
Generation 116: Best Solution = [ 7.47042318e-13 -5.86226897e-14], Best Fitness = 5.615088452441986e-25, Evaluations = 1872
Generation 117: Best Solution = [ 7.47042318e-13 -5.86226897e-14], Best Fitness = 5.615088452441986e-25, Evaluations = 1888
Generation 118: Best Solution = [ 7.47042318e-13 -5.86226897e-14], Best Fitness = 5.615088452441986e-25, Evaluations = 1904
Generation 119: Best Solution = [-7.78513786e-14  1.37861375e-13], Best Fitness = 2.506659576158111e-26, Evaluations = 1920
Generation 120: Best Solution = [-7.78513786e-14  1.37861375e-13], Best Fitness = 2.506659576158111e-26, Evaluations = 1936
Generation 121: Best Solution = [-7.78513786e-14  1.37861375e-13], Best Fitness = 2.506659576158111e-26, Evaluations = 1952
Generation 122: Best Solution = [-7.78513786e-14  1.37861375e-13], Best Fitness = 2.506659576158111e-26, Evaluations = 1968
Generation 123: Best Solution = [-7.78513786e-14  1.37861375e-13], Best Fitness = 2.506659576158111e-26, Evaluations = 1984
Generation 124: Best Solution = [-7.78513786e-14  1.37861375e-13], Best Fitness = 2.506659576158111e-26, Evaluations = 2000
