Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 143: Best Solution = [-3.76882740e-13  2.69964767e-14], Best Fitness = 1.0698109065288008e-12, Evaluations = 1152
Generation 144: Best Solution = [-1.34132844e-13 -7.59429630e-14], Best Fitness = 4.338751580235112e-13, Evaluations = 1160
Generation 145: Best Solution = [-1.34132844e-13 -7.59429630e-14], Best Fitness = 4.338751580235112e-13, Evaluations = 1168
Generation 146: Best Solution = [-1.32554932e-13  2.69964767e-14], Best Fitness = 3.8413716652030416e-13, Evaluations = 1176
Generation 147: Best Solution = [-1.32554932e-13  2.69964767e-14], Best Fitness = 3.8413716652030416e-13, Evaluations = 1184
Generation 148: Best Solution = [4.34503748e-14 1.09356549e-14], Best Fitness = 1.283417816466681e-13, Evaluations = 1192
Generation 149: Best Solution = [4.34503748e-14 1.09356549e-14], Best Fitness = 1.283417816466681e-13, Evaluations = 1200
Generation 150: Best Solution = [ 3.46406237e-15 -2.85970534e-14], Best Fitness = 8.215650382226158e-14, Evaluations = 1208
Generation 151: Best Solution = [ 3.46406237e-15 -2.85970534e-14], Best Fitness = 8.215650382226158e-14, Evaluations = 1216
Generation 152: Best Solution = [ 3.46406237e-15 -2.85970534e-14], Best Fitness = 4.3076653355456074e-14, Evaluations = 1224
Generation 153: Best Solution = [ 3.46406237e-15 -2.85970534e-14], Best Fitness = 4.3076653355456074e-14, Evaluations = 1232
Generation 154: Best Solution = [ 3.46406237e-15 -2.85970534e-14], Best Fitness = 4.3076653355456074e-14, Evaluations = 1240
Generation 155: Best Solution = [ 3.46406237e-15 -2.85970534e-14], Best Fitness = 4.3076653355456074e-14, Evaluations = 1248
Generation 156: Best Solution = [ 3.46406237e-15 -2.85970534e-14], Best Fitness = 4.3076653355456074e-14, Evaluations = 1256
Generation 157: Best Solution = [ 8.43870069e-15 -1.76357208e-15], Best Fitness = 2.531308496145357e-14, Evaluations = 1264
Generation 158: Best Solution = [ 3.46406237e-15 -4.74104858e-15], Best Fitness = 1.4654943925052066e-14, Evaluations = 1272
Generation 159: Best Solution = [ 3.46406237e-15 -4.74104858e-15], Best Fitness = 1.4654943925052066e-14, Evaluations = 1280
Generation 160: Best Solution = [-1.88165902e-16  2.23488909e-15], Best Fitness = 7.549516567451064e-15, Evaluations = 1288
Generation 161: Best Solution = [-1.88165902e-16  2.23488909e-15], Best Fitness = 7.549516567451064e-15, Evaluations = 1296
Generation 162: Best Solution = [-1.88165902e-16  2.23488909e-15], Best Fitness = 7.549516567451064e-15, Evaluations = 1304
Generation 163: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1312
Generation 164: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1320
Generation 165: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1328
Generation 166: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1336
Generation 167: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1344
Generation 168: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1352
Generation 169: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1360
Generation 170: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1368
Generation 171: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1376
Generation 172: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1384
Generation 173: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1392
Generation 174: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1400
Generation 175: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1408
Generation 176: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1416
Generation 177: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1424
Generation 178: Best Solution = [-3.92186786e-17  2.76957136e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1432
