Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 32
Max Evaluations: 5000

Generation 90: Best Solution = [1.24720714e-09 2.69468237e-10], Best Fitness = 1.6281387849590331e-18, Evaluations = 2912
Generation 91: Best Solution = [1.24720714e-09 2.69468237e-10], Best Fitness = 1.6281387849590331e-18, Evaluations = 2944
Generation 92: Best Solution = [1.24720714e-09 2.69468237e-10], Best Fitness = 1.6281387849590331e-18, Evaluations = 2976
Generation 93: Best Solution = [1.24720714e-09 2.69468237e-10], Best Fitness = 1.6281387849590331e-18, Evaluations = 3008
Generation 94: Best Solution = [-3.17258644e-10  5.20436505e-10], Best Fitness = 3.7150720279366174e-19, Evaluations = 3040
Generation 95: Best Solution = [3.33720660e-10 3.51405554e-10], Best Fitness = 2.348553424019168e-19, Evaluations = 3072
Generation 96: Best Solution = [3.33720660e-10 3.51405554e-10], Best Fitness = 2.348553424019168e-19, Evaluations = 3104
Generation 97: Best Solution = [ 1.15918670e-11 -4.03485537e-10], Best Fitness = 1.62934949769699e-19, Evaluations = 3136
Generation 98: Best Solution = [ 1.41069973e-10 -1.55900501e-10], Best Fitness = 4.420570322418279e-20, Evaluations = 3168
Generation 99: Best Solution = [ 1.41069973e-10 -1.55900501e-10], Best Fitness = 4.420570322418279e-20, Evaluations = 3200
Generation 100: Best Solution = [7.64268337e-11 8.80787533e-11], Best Fitness = 1.359892770546537e-20, Evaluations = 3232
Generation 101: Best Solution = [7.64268337e-11 8.80787533e-11], Best Fitness = 1.359892770546537e-20, Evaluations = 3264
Generation 102: Best Solution = [7.64268337e-11 8.80787533e-11], Best Fitness = 1.359892770546537e-20, Evaluations = 3296
Generation 103: Best Solution = [-4.78904454e-11  4.39287521e-11], Best Fitness = 4.2232300300603304e-21, Evaluations = 3328
Generation 104: Best Solution = [-4.78904454e-11  4.39287521e-11], Best Fitness = 4.2232300300603304e-21, Evaluations = 3360
Generation 105: Best Solution = [-4.78904454e-11  4.39287521e-11], Best Fitness = 4.2232300300603304e-21, Evaluations = 3392
Generation 106: Best Solution = [-4.66542201e-12  8.47031478e-12], Best Fitness = 9.351239493358725e-23, Evaluations = 3424
Generation 107: Best Solution = [-3.41789695e-12  4.29701354e-12], Best Fitness = 3.014634489005864e-23, Evaluations = 3456
Generation 108: Best Solution = [-3.41789695e-12  4.29701354e-12], Best Fitness = 3.014634489005864e-23, Evaluations = 3488
Generation 109: Best Solution = [-3.41789695e-12  4.29701354e-12], Best Fitness = 3.014634489005864e-23, Evaluations = 3520
Generation 110: Best Solution = [-3.41789695e-12  4.29701354e-12], Best Fitness = 3.014634489005864e-23, Evaluations = 3552
Generation 111: Best Solution = [-3.41789695e-12  4.29701354e-12], Best Fitness = 3.014634489005864e-23, Evaluations = 3584
Generation 112: Best Solution = [-3.41789695e-12  4.29701354e-12], Best Fitness = 3.014634489005864e-23, Evaluations = 3616
Generation 113: Best Solution = [-3.41789695e-12  4.29701354e-12], Best Fitness = 3.014634489005864e-23, Evaluations = 3648
Generation 114: Best Solution = [-3.41789695e-12  4.29701354e-12], Best Fitness = 3.014634489005864e-23, Evaluations = 3680
Generation 115: Best Solution = [-1.62657884e-13  2.06323665e-12], Best Fitness = 4.283403078112105e-24, Evaluations = 3712
Generation 116: Best Solution = [-1.62657884e-13  2.06323665e-12], Best Fitness = 4.283403078112105e-24, Evaluations = 3744
Generation 117: Best Solution = [-1.46615685e-12 -2.96363104e-13], Best Fitness = 2.237446992369453e-24, Evaluations = 3776
Generation 118: Best Solution = [-1.46615685e-12 -2.96363104e-13], Best Fitness = 2.237446992369453e-24, Evaluations = 3808
Generation 119: Best Solution = [-4.75036438e-13 -7.31115394e-14], Best Fitness = 2.3100491452163093e-25, Evaluations = 3840
Generation 120: Best Solution = [-4.75036438e-13 -7.31115394e-14], Best Fitness = 2.3100491452163093e-25, Evaluations = 3872
Generation 121: Best Solution = [-4.75036438e-13 -7.31115394e-14], Best Fitness = 2.3100491452163093e-25, Evaluations = 3904
Generation 122: Best Solution = [-4.75036438e-13 -7.31115394e-14], Best Fitness = 4.234120544243126e-26, Evaluations = 3936
