Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 32
Max Evaluations: 5000

Generation 102: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3296
Generation 103: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3328
Generation 104: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3360
Generation 105: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3392
Generation 106: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3424
Generation 107: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3456
Generation 108: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3488
Generation 109: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3520
Generation 110: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3552
Generation 111: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3584
Generation 112: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3616
Generation 113: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3648
Generation 114: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3680
Generation 115: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3712
Generation 116: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3744
Generation 117: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3776
Generation 118: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3808
Generation 119: Best Solution = [0.94571802 0.90136198], Best Fitness = 0.007817738112210678, Evaluations = 3840
Generation 120: Best Solution = [0.99249169 0.98501801], Best Fitness = 5.642199316089829e-05, Evaluations = 3872
Generation 121: Best Solution = [0.99249169 0.98501801], Best Fitness = 5.642199316089829e-05, Evaluations = 3904
Generation 122: Best Solution = [0.99249169 0.98501801], Best Fitness = 5.642199316089829e-05, Evaluations = 3936
Generation 123: Best Solution = [0.99249169 0.98501801], Best Fitness = 5.642199316089829e-05, Evaluations = 3968
Generation 124: Best Solution = [0.99249169 0.98501801], Best Fitness = 5.642199316089829e-05, Evaluations = 4000
Generation 125: Best Solution = [0.99249169 0.98501801], Best Fitness = 5.642199316089829e-05, Evaluations = 4032
Generation 126: Best Solution = [0.99249169 0.98501801], Best Fitness = 5.642199316089829e-05, Evaluations = 4064
Generation 127: Best Solution = [0.99249169 0.98501801], Best Fitness = 5.642199316089829e-05, Evaluations = 4096
Generation 128: Best Solution = [0.99249169 0.98501801], Best Fitness = 5.642199316089829e-05, Evaluations = 4128
Generation 129: Best Solution = [0.99249169 0.98501801], Best Fitness = 5.642199316089829e-05, Evaluations = 4160
Generation 130: Best Solution = [0.99249169 0.98501801], Best Fitness = 5.642199316089829e-05, Evaluations = 4192
Generation 131: Best Solution = [0.99249169 0.98501801], Best Fitness = 5.642199316089829e-05, Evaluations = 4224
