Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 198: Best Solution = [-4.23787739e-23  2.21783016e-21], Best Fitness = 3.426584781207852e-44, Evaluations = 1592
Generation 199: Best Solution = [-4.23787739e-23  2.21783016e-21], Best Fitness = 3.426584781207852e-44, Evaluations = 1600
Generation 200: Best Solution = [-4.23787739e-23  2.21783016e-21], Best Fitness = 3.426584781207852e-44, Evaluations = 1608
Generation 201: Best Solution = [-4.23787739e-23  2.21783016e-21], Best Fitness = 3.426584781207852e-44, Evaluations = 1616
Generation 202: Best Solution = [-4.23787739e-23  2.21783016e-21], Best Fitness = 3.426584781207852e-44, Evaluations = 1624
Generation 203: Best Solution = [-4.23787739e-23  2.21783016e-21], Best Fitness = 3.426584781207852e-44, Evaluations = 1632
Generation 204: Best Solution = [-4.23787739e-23  2.21783016e-21], Best Fitness = 3.426584781207852e-44, Evaluations = 1640
Generation 205: Best Solution = [-4.23787739e-23  2.21783016e-21], Best Fitness = 3.426584781207852e-44, Evaluations = 1648
Generation 206: Best Solution = [8.14162917e-23 1.10708038e-23], Best Fitness = 6.751175250831404e-45, Evaluations = 1656
Generation 207: Best Solution = [6.87061418e-23 3.64392468e-23], Best Fitness = 6.04835263801157e-45, Evaluations = 1664
Generation 208: Best Solution = [-7.35274808e-24  2.67138954e-23], Best Fitness = 7.676951138496503e-46, Evaluations = 1672
Generation 209: Best Solution = [-7.35274808e-24  2.67138954e-23], Best Fitness = 7.676951138496503e-46, Evaluations = 1680
Generation 210: Best Solution = [2.08296070e-23 1.31566299e-23], Best Fitness = 6.069694360848354e-46, Evaluations = 1688
Generation 211: Best Solution = [1.63772399e-24 9.84599106e-24], Best Fitness = 9.962567990659635e-47, Evaluations = 1696
Generation 212: Best Solution = [1.63772399e-24 9.84599106e-24], Best Fitness = 4.836667288280645e-47, Evaluations = 1704
Generation 213: Best Solution = [1.63772399e-24 9.84599106e-24], Best Fitness = 4.836667288280645e-47, Evaluations = 1712
Generation 214: Best Solution = [1.63772399e-24 9.84599106e-24], Best Fitness = 4.836667288280645e-47, Evaluations = 1720
Generation 215: Best Solution = [1.63772399e-24 9.84599106e-24], Best Fitness = 4.836667288280645e-47, Evaluations = 1728
Generation 216: Best Solution = [1.63772399e-24 9.84599106e-24], Best Fitness = 4.836667288280645e-47, Evaluations = 1736
Generation 217: Best Solution = [1.63772399e-24 9.84599106e-24], Best Fitness = 4.836667288280645e-47, Evaluations = 1744
Generation 218: Best Solution = [1.63772399e-24 9.84599106e-24], Best Fitness = 4.836667288280645e-47, Evaluations = 1752
Generation 219: Best Solution = [1.63772399e-24 9.84599106e-24], Best Fitness = 2.770439867323118e-48, Evaluations = 1760
Generation 220: Best Solution = [1.63772399e-24 9.84599106e-24], Best Fitness = 2.770439867323118e-48, Evaluations = 1768
Generation 221: Best Solution = [-6.57549784e-25  1.11024116e-24], Best Fitness = 1.665007146707954e-48, Evaluations = 1776
Generation 222: Best Solution = [-6.57549784e-25  1.11024116e-24], Best Fitness = 1.665007146707954e-48, Evaluations = 1784
Generation 223: Best Solution = [-6.57549784e-25  1.11024116e-24], Best Fitness = 1.665007146707954e-48, Evaluations = 1792
Generation 224: Best Solution = [-6.57549784e-25  1.11024116e-24], Best Fitness = 1.665007146707954e-48, Evaluations = 1800
Generation 225: Best Solution = [-6.57549784e-25  1.11024116e-24], Best Fitness = 1.665007146707954e-48, Evaluations = 1808
Generation 226: Best Solution = [-6.57549784e-25  1.11024116e-24], Best Fitness = 5.178473486150648e-49, Evaluations = 1816
Generation 227: Best Solution = [-6.57549784e-25  1.11024116e-24], Best Fitness = 5.178473486150648e-49, Evaluations = 1824
Generation 228: Best Solution = [ 5.44230373e-25 -1.12038713e-26], Best Fitness = 2.963122252525684e-49, Evaluations = 1832
