Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 85: Best Solution = [ 2.17535868e-08 -1.43248772e-08], Best Fitness = 7.367067356156554e-08, Evaluations = 688
Generation 86: Best Solution = [ 2.17535868e-08 -1.43248772e-08], Best Fitness = 7.367067356156554e-08, Evaluations = 696
Generation 87: Best Solution = [ 2.17535868e-08 -1.43248772e-08], Best Fitness = 7.367067356156554e-08, Evaluations = 704
Generation 88: Best Solution = [ 2.17535868e-08 -1.43248772e-08], Best Fitness = 7.367067356156554e-08, Evaluations = 712
Generation 89: Best Solution = [-5.63547584e-09 -1.64357496e-08], Best Fitness = 4.9144077696183786e-08, Evaluations = 720
Generation 90: Best Solution = [-5.63547584e-09 -1.64357496e-08], Best Fitness = 4.9144077696183786e-08, Evaluations = 728
Generation 91: Best Solution = [-5.63547584e-09 -1.64357496e-08], Best Fitness = 4.9144077696183786e-08, Evaluations = 736
Generation 92: Best Solution = [1.35368680e-08 1.61807441e-09], Best Fitness = 3.8560600490455954e-08, Evaluations = 744
Generation 93: Best Solution = [6.24847944e-09 3.28566365e-09], Best Fitness = 1.9967789643970946e-08, Evaluations = 752
Generation 94: Best Solution = [-4.02050723e-09  1.61807441e-09], Best Fitness = 1.2258106085738518e-08, Evaluations = 760
Generation 95: Best Solution = [-4.02050723e-09  1.61807441e-09], Best Fitness = 1.2258106085738518e-08, Evaluations = 768
Generation 96: Best Solution = [-4.02050723e-09  1.61807441e-09], Best Fitness = 1.2258106085738518e-08, Evaluations = 776
Generation 97: Best Solution = [-4.02050723e-09  1.61807441e-09], Best Fitness = 4.81457407275343e-09, Evaluations = 784
Generation 98: Best Solution = [-4.02050723e-09  1.61807441e-09], Best Fitness = 4.81457407275343e-09, Evaluations = 792
Generation 99: Best Solution = [-4.02050723e-09  1.61807441e-09], Best Fitness = 4.81457407275343e-09, Evaluations = 800
Generation 100: Best Solution = [-4.02050723e-09  1.61807441e-09], Best Fitness = 4.81457407275343e-09, Evaluations = 808
Generation 101: Best Solution = [-4.02050723e-09  1.61807441e-09], Best Fitness = 4.81457407275343e-09, Evaluations = 816
Generation 102: Best Solution = [-8.10929977e-10  1.38119131e-09], Best Fitness = 4.530165131910735e-09, Evaluations = 824
Generation 103: Best Solution = [-8.10929977e-10  1.38119131e-09], Best Fitness = 4.530165131910735e-09, Evaluations = 832
Generation 104: Best Solution = [2.78713219e-11 1.38119131e-09], Best Fitness = 3.90739574029908e-09, Evaluations = 840
Generation 105: Best Solution = [ 7.51005163e-10 -1.49262951e-10], Best Fitness = 2.1657133864039224e-09, Evaluations = 848
Generation 106: Best Solution = [ 7.51005163e-10 -1.49262951e-10], Best Fitness = 2.1657133864039224e-09, Evaluations = 856
Generation 107: Best Solution = [ 7.51005163e-10 -1.49262951e-10], Best Fitness = 2.1657133864039224e-09, Evaluations = 864
Generation 108: Best Solution = [ 7.51005163e-10 -1.49262951e-10], Best Fitness = 2.1657133864039224e-09, Evaluations = 872
Generation 109: Best Solution = [-2.70408364e-10 -4.24640178e-11], Best Fitness = 7.742042562597362e-10, Evaluations = 880
Generation 110: Best Solution = [-2.70408364e-10 -4.24640178e-11], Best Fitness = 7.742042562597362e-10, Evaluations = 888
