Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 64: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 1040
Generation 65: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 1056
Generation 66: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 1072
Generation 67: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 1088
Generation 68: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 1104
Generation 69: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 1120
Generation 70: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 1136
Generation 71: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 1152
Generation 72: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 1168
Generation 73: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 1184
Generation 74: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 1200
Generation 75: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 1216
Generation 76: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 1232
Generation 77: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 1248
Generation 78: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 1264
Generation 79: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 1280
Generation 80: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 1296
Generation 81: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 1312
Generation 82: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 1328
Generation 83: Best Solution = [1.11370456 1.23948443], Best Fitness = 0.013001560425128914, Evaluations = 1344
Generation 84: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1360
Generation 85: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1376
Generation 86: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1392
Generation 87: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1408
Generation 88: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1424
Generation 89: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1440
Generation 90: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1456
Generation 91: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1472
Generation 92: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1488
Generation 93: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1504
Generation 94: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1520
Generation 95: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1536
Generation 96: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1552
Generation 97: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1568
Generation 98: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1584
Generation 99: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1600
Generation 100: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1616
Generation 101: Best Solution = [1.03426351 1.07206873], Best Fitness = 0.0017346049701745525, Evaluations = 1632
