Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 89: Best Solution = [ 2.14779582e-08 -1.38797564e-07], Best Fitness = 3.972517466088732e-07, Evaluations = 720
Generation 90: Best Solution = [ 2.14779582e-08 -1.38797564e-07], Best Fitness = 3.972517466088732e-07, Evaluations = 728
Generation 91: Best Solution = [8.94199532e-08 9.56395675e-09], Best Fitness = 2.543605508442681e-07, Evaluations = 736
Generation 92: Best Solution = [-2.45681667e-09  7.97696230e-08], Best Fitness = 2.2572972158130256e-07, Evaluations = 744
Generation 93: Best Solution = [5.59977443e-08 9.56395675e-09], Best Fitness = 1.606790616115461e-07, Evaluations = 752
Generation 94: Best Solution = [-9.49653947e-09 -2.60770988e-08], Best Fitness = 7.84958484878473e-08, Evaluations = 760
Generation 95: Best Solution = [2.11753703e-08 9.56395675e-09], Best Fitness = 6.571854216375073e-08, Evaluations = 768
Generation 96: Best Solution = [2.11753703e-08 9.56395675e-09], Best Fitness = 6.310298816813997e-08, Evaluations = 776
Generation 97: Best Solution = [-2.41565061e-09  9.11775514e-09], Best Fitness = 2.667865972583172e-08, Evaluations = 784
Generation 98: Best Solution = [-2.41565061e-09  9.11775514e-09], Best Fitness = 2.667865972583172e-08, Evaluations = 792
Generation 99: Best Solution = [-1.12060585e-09  2.85230556e-09], Best Fitness = 8.66782956521206e-09, Evaluations = 800
Generation 100: Best Solution = [-1.12060585e-09  2.85230556e-09], Best Fitness = 8.66782956521206e-09, Evaluations = 808
Generation 101: Best Solution = [-1.12060585e-09  2.85230556e-09], Best Fitness = 8.66782956521206e-09, Evaluations = 816
Generation 102: Best Solution = [-1.12060585e-09  2.85230556e-09], Best Fitness = 8.66782956521206e-09, Evaluations = 824
Generation 103: Best Solution = [-1.12060585e-09  2.85230556e-09], Best Fitness = 8.178791421897813e-09, Evaluations = 832
Generation 104: Best Solution = [-1.12060585e-09  2.85230556e-09], Best Fitness = 8.178791421897813e-09, Evaluations = 840
Generation 105: Best Solution = [-1.12060585e-09  2.85230556e-09], Best Fitness = 3.4971354700985557e-09, Evaluations = 848
Generation 106: Best Solution = [-1.12060585e-09  2.85230556e-09], Best Fitness = 3.4971354700985557e-09, Evaluations = 856
Generation 107: Best Solution = [4.73770731e-10 4.95483123e-10], Best Fitness = 1.9389934102775896e-09, Evaluations = 864
Generation 108: Best Solution = [4.73770731e-10 4.95483123e-10], Best Fitness = 1.9389934102775896e-09, Evaluations = 872
Generation 109: Best Solution = [4.73770731e-10 4.95483123e-10], Best Fitness = 1.9389934102775896e-09, Evaluations = 880
Generation 110: Best Solution = [4.31114060e-10 1.14446864e-11], Best Fitness = 1.219803369423289e-09, Evaluations = 888
Generation 111: Best Solution = [4.31114060e-10 1.14446864e-11], Best Fitness = 1.219803369423289e-09, Evaluations = 896
Generation 112: Best Solution = [ 2.18600367e-10 -2.76092670e-10], Best Fitness = 9.960463565050759e-10, Evaluations = 904
