Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 72: Best Solution = [ 2.61779529e-09 -2.47684303e-08], Best Fitness = 1.2329837833052737e-17, Evaluations = 584
Generation 73: Best Solution = [ 2.61779529e-09 -2.47684303e-08], Best Fitness = 1.2329837833052737e-17, Evaluations = 592
Generation 74: Best Solution = [ 2.61779529e-09 -2.47684303e-08], Best Fitness = 8.701714458170806e-18, Evaluations = 600
Generation 75: Best Solution = [ 2.61779529e-09 -2.47684303e-08], Best Fitness = 8.701714458170806e-18, Evaluations = 608
Generation 76: Best Solution = [ 2.61779529e-09 -2.47684303e-08], Best Fitness = 8.701714458170806e-18, Evaluations = 616
Generation 77: Best Solution = [ 2.61779529e-09 -2.47684303e-08], Best Fitness = 8.701714458170806e-18, Evaluations = 624
Generation 78: Best Solution = [ 2.61779529e-09 -2.47684303e-08], Best Fitness = 8.701714458170806e-18, Evaluations = 632
Generation 79: Best Solution = [-3.13358537e-10  1.76349176e-09], Best Fitness = 3.208096769024896e-18, Evaluations = 640
Generation 80: Best Solution = [-3.13358537e-10  1.76349176e-09], Best Fitness = 3.208096769024896e-18, Evaluations = 648
Generation 81: Best Solution = [-3.13358537e-10  1.09892207e-09], Best Fitness = 1.3058232988643778e-18, Evaluations = 656
Generation 82: Best Solution = [-3.13358537e-10  1.09892207e-09], Best Fitness = 1.3058232988643778e-18, Evaluations = 664
Generation 83: Best Solution = [-3.13358537e-10  1.09892207e-09], Best Fitness = 1.3058232988643778e-18, Evaluations = 672
Generation 84: Best Solution = [-3.13358537e-10  1.09892207e-09], Best Fitness = 1.3058232988643778e-18, Evaluations = 680
Generation 85: Best Solution = [4.13211831e-10 8.52969312e-10], Best Fitness = 8.983006652583291e-19, Evaluations = 688
Generation 86: Best Solution = [3.83108579e-11 8.99140703e-10], Best Fitness = 8.099217252179271e-19, Evaluations = 696
Generation 87: Best Solution = [-2.25087537e-10  5.98407754e-10], Best Fitness = 4.087562389529977e-19, Evaluations = 704
Generation 88: Best Solution = [-2.25087537e-10  5.98407754e-10], Best Fitness = 4.087562389529977e-19, Evaluations = 712
Generation 89: Best Solution = [4.13211831e-10 4.76954257e-10], Best Fitness = 3.982293808007511e-19, Evaluations = 720
Generation 90: Best Solution = [3.63516035e-10 4.63769471e-10], Best Fitness = 3.472260297573994e-19, Evaluations = 728
Generation 91: Best Solution = [1.85002062e-10 3.24857322e-10], Best Fitness = 1.3975804257989402e-19, Evaluations = 736
Generation 92: Best Solution = [3.83108579e-11 1.25352728e-10], Best Fitness = 1.7181028275233296e-20, Evaluations = 744
Generation 93: Best Solution = [-2.26217932e-11  8.79656023e-11], Best Fitness = 8.2496927061512e-21, Evaluations = 752
Generation 94: Best Solution = [-4.24730667e-11 -6.61325741e-11], Best Fitness = 6.177478749773225e-21, Evaluations = 760
Generation 95: Best Solution = [3.83108579e-11 5.35952878e-11], Best Fitness = 4.340176705182635e-21, Evaluations = 768
Generation 96: Best Solution = [-1.65609740e-11  2.52194191e-12], Best Fitness = 2.8062604939198164e-22, Evaluations = 776
Generation 97: Best Solution = [-1.65609740e-11  2.52194191e-12], Best Fitness = 2.8062604939198164e-22, Evaluations = 784
Generation 98: Best Solution = [-1.65609740e-11  2.52194191e-12], Best Fitness = 2.8062604939198164e-22, Evaluations = 792
