Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 132: Best Solution = [0.98623    0.97254585], Best Fitness = 0.00019068955614694001, Evaluations = 1064
Generation 133: Best Solution = [0.98623    0.97254585], Best Fitness = 0.00019068955614694001, Evaluations = 1072
Generation 134: Best Solution = [0.98623    0.97254585], Best Fitness = 0.00019068955614694001, Evaluations = 1080
Generation 135: Best Solution = [0.98623    0.97254585], Best Fitness = 0.00019068955614694001, Evaluations = 1088
Generation 136: Best Solution = [0.98623    0.97254585], Best Fitness = 0.00019068955614694001, Evaluations = 1096
Generation 137: Best Solution = [0.98623    0.97254585], Best Fitness = 0.00019068955614694001, Evaluations = 1104
Generation 138: Best Solution = [0.98623    0.97254585], Best Fitness = 0.00019068955614694001, Evaluations = 1112
Generation 139: Best Solution = [0.98686639 0.97367881], Best Fitness = 0.00017761973393532745, Evaluations = 1120
Generation 140: Best Solution = [0.98686639 0.97367881], Best Fitness = 0.00017761973393532745, Evaluations = 1128
Generation 141: Best Solution = [0.98686639 0.97367881], Best Fitness = 0.00017761973393532745, Evaluations = 1136
Generation 142: Best Solution = [0.98686639 0.97367881], Best Fitness = 0.00017761973393532745, Evaluations = 1144
Generation 143: Best Solution = [0.98698431 0.973895  ], Best Fitness = 0.000175314215072148, Evaluations = 1152
Generation 144: Best Solution = [0.98698431 0.973895  ], Best Fitness = 0.000175314215072148, Evaluations = 1160
Generation 145: Best Solution = [0.98740032 0.97469536], Best Fitness = 0.00016572357273840927, Evaluations = 1168
Generation 146: Best Solution = [0.98740032 0.97469536], Best Fitness = 0.00016572357273840927, Evaluations = 1176
Generation 147: Best Solution = [0.98745088 0.9748189 ], Best Fitness = 0.0001632566495095767, Evaluations = 1184
Generation 148: Best Solution = [0.98745088 0.9748189 ], Best Fitness = 0.0001632566495095767, Evaluations = 1192
Generation 149: Best Solution = [0.98745088 0.9748189 ], Best Fitness = 0.0001632566495095767, Evaluations = 1200
Generation 150: Best Solution = [0.98803902 0.97603364], Best Fitness = 0.00014657935778521715, Evaluations = 1208
Generation 151: Best Solution = [0.98903631 0.97776126], Best Fitness = 0.00013882664586995833, Evaluations = 1216
Generation 152: Best Solution = [0.98903631 0.97776126], Best Fitness = 0.00013882664586995833, Evaluations = 1224
Generation 153: Best Solution = [0.98878619 0.97773169], Best Fitness = 0.00012586234125741701, Evaluations = 1232
Generation 154: Best Solution = [0.98966069 0.97915481], Best Fitness = 0.00011437972138886025, Evaluations = 1240
Generation 155: Best Solution = [0.98966069 0.97915481], Best Fitness = 0.00011437972138886025, Evaluations = 1248
Generation 156: Best Solution = [0.98966069 0.97915481], Best Fitness = 0.00011437972138886025, Evaluations = 1256
Generation 157: Best Solution = [0.98970193 0.97924177], Best Fitness = 0.00011324013001970395, Evaluations = 1264
Generation 158: Best Solution = [0.98970193 0.97924177], Best Fitness = 0.00011324013001970395, Evaluations = 1272
Generation 159: Best Solution = [0.98954817 0.97937037], Best Fitness = 0.00011195593698630644, Evaluations = 1280
Generation 160: Best Solution = [0.98954817 0.97937037], Best Fitness = 0.00010788444956391975, Evaluations = 1288
Generation 161: Best Solution = [0.98954817 0.97937037], Best Fitness = 0.00010788444956391975, Evaluations = 1296
Generation 162: Best Solution = [0.98954817 0.97937037], Best Fitness = 0.00010788444956391975, Evaluations = 1304
Generation 163: Best Solution = [0.98966069 0.97940054], Best Fitness = 0.0001069783256913583, Evaluations = 1312
Generation 164: Best Solution = [0.98968885 0.97941385], Best Fitness = 0.00010681221638607149, Evaluations = 1320
Generation 165: Best Solution = [0.98968885 0.97941385], Best Fitness = 0.00010631348688939593, Evaluations = 1328
Generation 166: Best Solution = [0.98968885 0.97941385], Best Fitness = 0.00010631348688939593, Evaluations = 1336
Generation 167: Best Solution = [0.98968885 0.97941385], Best Fitness = 0.00010631348688939593, Evaluations = 1344
Generation 168: Best Solution = [0.98968885 0.97941385], Best Fitness = 0.00010631348688939593, Evaluations = 1352
Generation 169: Best Solution = [0.98970747 0.97948506], Best Fitness = 0.00010606446356522855, Evaluations = 1360
