Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 113: Best Solution = [0.98582822 0.96997292], Best Fitness = 0.0005559246439181402, Evaluations = 1824
Generation 114: Best Solution = [0.98582822 0.96997292], Best Fitness = 0.0005559246439181402, Evaluations = 1840
Generation 115: Best Solution = [0.98582822 0.96997292], Best Fitness = 0.0005559246439181402, Evaluations = 1856
Generation 116: Best Solution = [0.98582822 0.96997292], Best Fitness = 0.0005559246439181402, Evaluations = 1872
Generation 117: Best Solution = [0.98582822 0.96997292], Best Fitness = 0.0005559246439181402, Evaluations = 1888
Generation 118: Best Solution = [0.98582822 0.96997292], Best Fitness = 0.0005559246439181402, Evaluations = 1904
Generation 119: Best Solution = [0.98582822 0.96997292], Best Fitness = 0.0005559246439181402, Evaluations = 1920
Generation 120: Best Solution = [0.98582822 0.96997292], Best Fitness = 0.0005559246439181402, Evaluations = 1936
Generation 121: Best Solution = [0.98582822 0.96997292], Best Fitness = 0.0005559246439181402, Evaluations = 1952
Generation 122: Best Solution = [0.98582822 0.96997292], Best Fitness = 0.0005559246439181402, Evaluations = 1968
Generation 123: Best Solution = [0.98582822 0.96997292], Best Fitness = 0.0005559246439181402, Evaluations = 1984
Generation 124: Best Solution = [0.98582822 0.96997292], Best Fitness = 0.0005559246439181402, Evaluations = 2000
