Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 106: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 856
Generation 107: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 864
Generation 108: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 872
Generation 109: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 880
Generation 110: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 888
Generation 111: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 896
Generation 112: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 904
Generation 113: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 912
Generation 114: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 920
Generation 115: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 928
Generation 116: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 936
Generation 117: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 944
Generation 118: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 952
Generation 119: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 960
Generation 120: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 968
Generation 121: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 976
Generation 122: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 984
Generation 123: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 992
Generation 124: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1000
Generation 125: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1008
Generation 126: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1016
Generation 127: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1024
Generation 128: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1032
Generation 129: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1040
Generation 130: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1048
Generation 131: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1056
Generation 132: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1064
Generation 133: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1072
Generation 134: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1080
Generation 135: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1088
Generation 136: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1096
Generation 137: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1104
Generation 138: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1112
Generation 139: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1120
Generation 140: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1128
Generation 141: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1136
Generation 142: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1144
Generation 143: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1152
Generation 144: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1160
Generation 145: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1168
Generation 146: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1176
Generation 147: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1184
Generation 148: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1192
Generation 149: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1200
Generation 150: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1208
Generation 151: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1216
Generation 152: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1224
Generation 153: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1232
Generation 154: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1240
Generation 155: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1248
Generation 156: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1256
Generation 157: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1264
Generation 158: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1272
Generation 159: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1280
Generation 160: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1288
Generation 161: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1296
Generation 162: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1304
Generation 163: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1312
Generation 164: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1320
Generation 165: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1328
Generation 166: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1336
Generation 167: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1344
Generation 168: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1352
Generation 169: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1360
Generation 170: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1368
Generation 171: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1376
Generation 172: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1384
Generation 173: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1392
Generation 174: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1400
Generation 175: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1408
Generation 176: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1416
Generation 177: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1424
Generation 178: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1432
Generation 179: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1440
Generation 180: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1448
Generation 181: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1456
Generation 182: Best Solution = [ 3.52080133e-10 -9.94958639e-01], Best Fitness = 0.9949590570932898, Evaluations = 1464
