Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 95: Best Solution = [-8.53859956e-10  1.27369371e-09], Best Fitness = 4.337160408596219e-09, Evaluations = 768
Generation 96: Best Solution = [-8.53859956e-10  1.27369371e-09], Best Fitness = 4.337160408596219e-09, Evaluations = 776
Generation 97: Best Solution = [-8.53859956e-10  1.27369371e-09], Best Fitness = 4.337160408596219e-09, Evaluations = 784
Generation 98: Best Solution = [-8.53859956e-10  1.27369371e-09], Best Fitness = 4.337160408596219e-09, Evaluations = 792
Generation 99: Best Solution = [ 2.21528523e-10 -2.34287579e-10], Best Fitness = 9.11989150864656e-10, Evaluations = 800
Generation 100: Best Solution = [ 2.21528523e-10 -2.34287579e-10], Best Fitness = 9.11989150864656e-10, Evaluations = 808
Generation 101: Best Solution = [ 2.21528523e-10 -2.34287579e-10], Best Fitness = 9.11989150864656e-10, Evaluations = 816
Generation 102: Best Solution = [ 2.21528523e-10 -2.34287579e-10], Best Fitness = 9.11989150864656e-10, Evaluations = 824
Generation 103: Best Solution = [ 2.21528523e-10 -2.34287579e-10], Best Fitness = 9.11989150864656e-10, Evaluations = 832
Generation 104: Best Solution = [ 2.21528523e-10 -2.34287579e-10], Best Fitness = 9.11989150864656e-10, Evaluations = 840
Generation 105: Best Solution = [ 2.21528523e-10 -2.34287579e-10], Best Fitness = 9.11989150864656e-10, Evaluations = 848
Generation 106: Best Solution = [-7.05867919e-11 -3.12490100e-11], Best Fitness = 2.1833956864725224e-10, Evaluations = 856
Generation 107: Best Solution = [-7.05867919e-11 -3.12490100e-11], Best Fitness = 2.1833956864725224e-10, Evaluations = 864
Generation 108: Best Solution = [ 6.08081779e-11 -4.23841954e-11], Best Fitness = 2.096496309889062e-10, Evaluations = 872
Generation 109: Best Solution = [ 6.08081779e-11 -4.23841954e-11], Best Fitness = 2.096496309889062e-10, Evaluations = 880
Generation 110: Best Solution = [ 5.77478021e-11 -3.30799694e-11], Best Fitness = 1.882374256467756e-10, Evaluations = 888
Generation 111: Best Solution = [6.08081779e-11 1.18624799e-11], Best Fitness = 1.7523449358236576e-10, Evaluations = 896
Generation 112: Best Solution = [6.08081779e-11 1.18624799e-11], Best Fitness = 1.7523449358236576e-10, Evaluations = 904
Generation 113: Best Solution = [ 5.77478021e-11 -9.26215017e-12], Best Fitness = 1.6542189840151877e-10, Evaluations = 912
Generation 114: Best Solution = [ 2.18066633e-11 -3.64445361e-11], Best Fitness = 1.201247989968124e-10, Evaluations = 920
Generation 115: Best Solution = [ 2.18066633e-11 -3.64445361e-11], Best Fitness = 1.201247989968124e-10, Evaluations = 928
Generation 116: Best Solution = [ 9.72767678e-12 -9.26215017e-12], Best Fitness = 3.799316417030241e-11, Evaluations = 936
Generation 117: Best Solution = [ 9.72767678e-12 -9.26215017e-12], Best Fitness = 3.799316417030241e-11, Evaluations = 944
Generation 118: Best Solution = [ 9.72767678e-12 -9.26215017e-12], Best Fitness = 3.799316417030241e-11, Evaluations = 952
Generation 119: Best Solution = [ 9.72767678e-12 -9.26215017e-12], Best Fitness = 3.799316417030241e-11, Evaluations = 960
Generation 120: Best Solution = [ 9.72767678e-12 -9.26215017e-12], Best Fitness = 3.799316417030241e-11, Evaluations = 968
Generation 121: Best Solution = [ 9.72767678e-12 -4.64670118e-12], Best Fitness = 3.048983288067575e-11, Evaluations = 976
Generation 122: Best Solution = [1.34658328e-14 4.54854431e-12], Best Fitness = 1.2864820320146464e-11, Evaluations = 984
Generation 123: Best Solution = [1.34658328e-14 4.54854431e-12], Best Fitness = 1.2864820320146464e-11, Evaluations = 992
Generation 124: Best Solution = [1.34658328e-14 4.54854431e-12], Best Fitness = 5.787814671975866e-12, Evaluations = 1000
Generation 125: Best Solution = [1.34658328e-14 4.54854431e-12], Best Fitness = 5.787814671975866e-12, Evaluations = 1008
Generation 126: Best Solution = [-5.73439546e-13  1.22959702e-12], Best Fitness = 3.837374862314391e-12, Evaluations = 1016
Generation 127: Best Solution = [-5.73439546e-13  1.22959702e-12], Best Fitness = 3.837374862314391e-12, Evaluations = 1024
Generation 128: Best Solution = [-2.8585591e-13  1.3188586e-12], Best Fitness = 3.816058580241588e-12, Evaluations = 1032
Generation 129: Best Solution = [-4.61927524e-13  7.60240712e-13], Best Fitness = 2.5157653738006047e-12, Evaluations = 1040
Generation 130: Best Solution = [1.34658328e-14 5.25591845e-13], Best Fitness = 1.48903112062726e-12, Evaluations = 1048
Generation 131: Best Solution = [1.34658328e-14 5.25591845e-13], Best Fitness = 1.48903112062726e-12, Evaluations = 1056
Generation 132: Best Solution = [1.34658328e-14 5.25591845e-13], Best Fitness = 1.48903112062726e-12, Evaluations = 1064
Generation 133: Best Solution = [-3.53501428e-14 -4.20904871e-14], Best Fitness = 1.567634910770721e-13, Evaluations = 1072
Generation 134: Best Solution = [-3.53501428e-14 -4.20904871e-14], Best Fitness = 1.567634910770721e-13, Evaluations = 1080
Generation 135: Best Solution = [-3.53501428e-14 -4.20904871e-14], Best Fitness = 1.567634910770721e-13, Evaluations = 1088
