Algorithm: Differential Evolution
Objective Function: Sphere
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 108: Best Solution = [-8.55598172e-12  2.44598661e-11], Best Fitness = 6.714898735579673e-22, Evaluations = 872
Generation 109: Best Solution = [-8.55598172e-12  2.44598661e-11], Best Fitness = 6.714898735579673e-22, Evaluations = 880
Generation 110: Best Solution = [-1.82682506e-11  9.75948999e-12], Best Fitness = 4.289766259065923e-22, Evaluations = 888
Generation 111: Best Solution = [-1.82682506e-11  9.75948999e-12], Best Fitness = 4.289766259065923e-22, Evaluations = 896
Generation 112: Best Solution = [-1.82682506e-11  9.75948999e-12], Best Fitness = 4.226030614638446e-22, Evaluations = 904
Generation 113: Best Solution = [-1.82682506e-11  9.75948999e-12], Best Fitness = 1.5165189019083648e-22, Evaluations = 912
Generation 114: Best Solution = [-1.82682506e-11  9.75948999e-12], Best Fitness = 1.5165189019083648e-22, Evaluations = 920
Generation 115: Best Solution = [-1.82682506e-11  9.75948999e-12], Best Fitness = 1.5165189019083648e-22, Evaluations = 928
Generation 116: Best Solution = [6.28876170e-12 9.75948999e-12], Best Fitness = 1.3479616852252967e-22, Evaluations = 936
Generation 117: Best Solution = [6.28876170e-12 9.75948999e-12], Best Fitness = 1.3479616852252967e-22, Evaluations = 944
Generation 118: Best Solution = [6.28876170e-12 9.75948999e-12], Best Fitness = 9.974958099135828e-23, Evaluations = 952
Generation 119: Best Solution = [-1.00387295e-12 -3.65518344e-12], Best Fitness = 1.4368126859532146e-23, Evaluations = 960
Generation 120: Best Solution = [-4.41615380e-13 -2.71084551e-13], Best Fitness = 2.6851097725841045e-25, Evaluations = 968
Generation 121: Best Solution = [-4.41615380e-13 -2.71084551e-13], Best Fitness = 2.6851097725841045e-25, Evaluations = 976
Generation 122: Best Solution = [-4.41615380e-13 -2.71084551e-13], Best Fitness = 2.6851097725841045e-25, Evaluations = 984
Generation 123: Best Solution = [-4.41615380e-13 -2.71084551e-13], Best Fitness = 2.6851097725841045e-25, Evaluations = 992
Generation 124: Best Solution = [-4.41615380e-13 -2.71084551e-13], Best Fitness = 2.6851097725841045e-25, Evaluations = 1000
Generation 125: Best Solution = [-4.41615380e-13 -2.71084551e-13], Best Fitness = 2.6851097725841045e-25, Evaluations = 1008
Generation 126: Best Solution = [-4.41615380e-13 -2.71084551e-13], Best Fitness = 1.1554895401852648e-25, Evaluations = 1016
Generation 127: Best Solution = [8.18874886e-15 3.05885381e-13], Best Fitness = 9.36329221706863e-26, Evaluations = 1024
Generation 128: Best Solution = [8.18874886e-15 5.46893365e-14], Best Fitness = 3.0579791365735575e-27, Evaluations = 1032
Generation 129: Best Solution = [8.18874886e-15 5.46893365e-14], Best Fitness = 3.0579791365735575e-27, Evaluations = 1040
Generation 130: Best Solution = [8.18874886e-15 5.46893365e-14], Best Fitness = 3.0579791365735575e-27, Evaluations = 1048
Generation 131: Best Solution = [8.18874886e-15 5.46893365e-14], Best Fitness = 3.0579791365735575e-27, Evaluations = 1056
Generation 132: Best Solution = [8.18874886e-15 5.46893365e-14], Best Fitness = 3.0579791365735575e-27, Evaluations = 1064
Generation 133: Best Solution = [8.18874886e-15 5.46893365e-14], Best Fitness = 3.0579791365735575e-27, Evaluations = 1072
Generation 134: Best Solution = [8.18874886e-15 5.46893365e-14], Best Fitness = 3.0579791365735575e-27, Evaluations = 1080
Generation 135: Best Solution = [8.18874886e-15 5.46893365e-14], Best Fitness = 3.0579791365735575e-27, Evaluations = 1088
Generation 136: Best Solution = [8.18874886e-15 5.46893365e-14], Best Fitness = 3.0579791365735575e-27, Evaluations = 1096
Generation 137: Best Solution = [8.18874886e-15 5.46893365e-14], Best Fitness = 3.0579791365735575e-27, Evaluations = 1104
Generation 138: Best Solution = [5.93212926e-15 1.57064455e-14], Best Fitness = 2.8188258665645307e-28, Evaluations = 1112
Generation 139: Best Solution = [-6.45219166e-15  6.33975951e-15], Best Fitness = 8.182332788367345e-29, Evaluations = 1120
Generation 140: Best Solution = [-6.45219166e-15  6.33975951e-15], Best Fitness = 8.182332788367345e-29, Evaluations = 1128
Generation 141: Best Solution = [-6.45219166e-15  6.33975951e-15], Best Fitness = 8.182332788367345e-29, Evaluations = 1136
Generation 142: Best Solution = [-6.45219166e-15  6.33975951e-15], Best Fitness = 5.828787047147555e-29, Evaluations = 1144
Generation 143: Best Solution = [-6.45219166e-15  6.33975951e-15], Best Fitness = 5.828787047147555e-29, Evaluations = 1152
Generation 144: Best Solution = [ 1.85548203e-15 -3.21519450e-15], Best Fitness = 1.3780289239447655e-29, Evaluations = 1160
Generation 145: Best Solution = [ 1.85548203e-15 -3.21519450e-15], Best Fitness = 1.3780289239447655e-29, Evaluations = 1168
Generation 146: Best Solution = [ 1.85548203e-15 -3.21519450e-15], Best Fitness = 1.3780289239447655e-29, Evaluations = 1176
Generation 147: Best Solution = [-1.13294125e-15  3.31783704e-15], Best Fitness = 1.2291598509157703e-29, Evaluations = 1184
Generation 148: Best Solution = [1.17688587e-16 2.27360043e-15], Best Fitness = 5.1831095005361625e-30, Evaluations = 1192
Generation 149: Best Solution = [1.17688587e-16 2.27360043e-15], Best Fitness = 1.580551678216167e-31, Evaluations = 1200
Generation 150: Best Solution = [1.17688587e-16 2.27360043e-15], Best Fitness = 1.580551678216167e-31, Evaluations = 1208
Generation 151: Best Solution = [2.73993483e-16 1.87004662e-17], Best Fitness = 7.54221359907095e-32, Evaluations = 1216
Generation 152: Best Solution = [2.73993483e-16 1.87004662e-17], Best Fitness = 7.54221359907095e-32, Evaluations = 1224
Generation 153: Best Solution = [2.73993483e-16 1.87004662e-17], Best Fitness = 7.54221359907095e-32, Evaluations = 1232
Generation 154: Best Solution = [2.73993483e-16 1.87004662e-17], Best Fitness = 7.54221359907095e-32, Evaluations = 1240
Generation 155: Best Solution = [2.73993483e-16 1.87004662e-17], Best Fitness = 1.9831021305958363e-32, Evaluations = 1248
