Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 130: Best Solution = [1.61283649e-12 2.56115340e-13], Best Fitness = 4.618971871650501e-12, Evaluations = 1048
Generation 131: Best Solution = [-8.00963532e-13  1.23486571e-12], Best Fitness = 4.164224520764037e-12, Evaluations = 1056
Generation 132: Best Solution = [-8.00963532e-13  1.23486571e-12], Best Fitness = 4.164224520764037e-12, Evaluations = 1064
Generation 133: Best Solution = [-8.00963532e-13  1.23486571e-12], Best Fitness = 3.6917136014835705e-12, Evaluations = 1072
Generation 134: Best Solution = [8.6319701e-13 2.5611534e-13], Best Fitness = 2.5477397969098092e-12, Evaluations = 1080
Generation 135: Best Solution = [ 5.00953507e-13 -1.43185441e-13], Best Fitness = 1.474820265912058e-12, Evaluations = 1088
Generation 136: Best Solution = [ 5.00953507e-13 -1.43185441e-13], Best Fitness = 1.474820265912058e-12, Evaluations = 1096
Generation 137: Best Solution = [-3.32925978e-13  2.56115340e-13], Best Fitness = 1.1870504579292174e-12, Evaluations = 1104
Generation 138: Best Solution = [3.15013895e-13 1.90125661e-14], Best Fitness = 8.921752225887758e-13, Evaluations = 1112
Generation 139: Best Solution = [-1.58218500e-13  1.90125661e-14], Best Fitness = 4.516387264175137e-13, Evaluations = 1120
Generation 140: Best Solution = [ 1.67219054e-14 -8.51019140e-14], Best Fitness = 2.4558133304708463e-13, Evaluations = 1128
Generation 141: Best Solution = [1.28766553e-14 1.90125661e-14], Best Fitness = 6.439293542825908e-14, Evaluations = 1136
Generation 142: Best Solution = [1.28766553e-14 1.90125661e-14], Best Fitness = 6.439293542825908e-14, Evaluations = 1144
Generation 143: Best Solution = [1.28766553e-14 1.90125661e-14], Best Fitness = 6.439293542825908e-14, Evaluations = 1152
Generation 144: Best Solution = [1.28766553e-14 1.90125661e-14], Best Fitness = 6.439293542825908e-14, Evaluations = 1160
Generation 145: Best Solution = [1.28766553e-14 1.90125661e-14], Best Fitness = 6.439293542825908e-14, Evaluations = 1168
Generation 146: Best Solution = [1.28766553e-14 1.90125661e-14], Best Fitness = 6.439293542825908e-14, Evaluations = 1176
Generation 147: Best Solution = [-5.41490184e-15 -2.32575336e-15], Best Fitness = 1.8207657603852567e-14, Evaluations = 1184
