Algorithm: Differential Evolution
Objective Function: Griewank
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 46: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 376
Generation 47: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 384
Generation 48: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 392
Generation 49: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 400
Generation 50: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 408
Generation 51: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 416
Generation 52: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 424
Generation 53: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 432
Generation 54: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 440
Generation 55: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 448
Generation 56: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 456
Generation 57: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 464
Generation 58: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 472
Generation 59: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 480
Generation 60: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 488
Generation 61: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 496
Generation 62: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 504
Generation 63: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524931, Evaluations = 512
Generation 64: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524598, Evaluations = 520
Generation 65: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524598, Evaluations = 528
Generation 66: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524598, Evaluations = 536
Generation 67: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524598, Evaluations = 544
Generation 68: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524598, Evaluations = 552
Generation 69: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524598, Evaluations = 560
Generation 70: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524598, Evaluations = 568
Generation 71: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524265, Evaluations = 576
Generation 72: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524265, Evaluations = 584
Generation 73: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524265, Evaluations = 592
Generation 74: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524265, Evaluations = 600
Generation 75: Best Solution = [3.22625429 4.38403896], Best Fitness = 0.011851213156524265, Evaluations = 608
Generation 76: Best Solution = [3.13893214 4.5676953 ], Best Fitness = 0.011574713519778346, Evaluations = 616
Generation 77: Best Solution = [3.13893214 4.5676953 ], Best Fitness = 0.011574713519778346, Evaluations = 624
Generation 78: Best Solution = [3.13893214 4.5676953 ], Best Fitness = 0.011574713519778346, Evaluations = 632
Generation 79: Best Solution = [3.13893214 4.5676953 ], Best Fitness = 0.011574713519778346, Evaluations = 640
Generation 80: Best Solution = [3.16512879 4.38403896], Best Fitness = 0.008451710378939437, Evaluations = 648
Generation 81: Best Solution = [3.12234093 4.47403057], Best Fitness = 0.007869288140702424, Evaluations = 656
Generation 82: Best Solution = [3.12234093 4.47403057], Best Fitness = 0.007869288140702424, Evaluations = 664
Generation 83: Best Solution = [3.12234093 4.47403057], Best Fitness = 0.007869288140702424, Evaluations = 672
Generation 84: Best Solution = [3.13893214 4.43772061], Best Fitness = 0.00739676633648112, Evaluations = 680
Generation 85: Best Solution = [3.13893214 4.43772061], Best Fitness = 0.00739676633648112, Evaluations = 688
Generation 86: Best Solution = [3.13893214 4.43772061], Best Fitness = 0.00739676633648112, Evaluations = 696
Generation 87: Best Solution = [3.13893214 4.43772061], Best Fitness = 0.00739676633648112, Evaluations = 704
Generation 88: Best Solution = [3.13893214 4.43891399], Best Fitness = 0.007396690381549664, Evaluations = 712
Generation 89: Best Solution = [3.13893214 4.43891399], Best Fitness = 0.007396690381549664, Evaluations = 720
Generation 90: Best Solution = [3.13893214 4.43821603], Best Fitness = 0.007396648272908424, Evaluations = 728
Generation 91: Best Solution = [3.13893214 4.43821603], Best Fitness = 0.007396648272908424, Evaluations = 736
Generation 92: Best Solution = [3.13893214 4.43821603], Best Fitness = 0.007396648272908424, Evaluations = 744
Generation 93: Best Solution = [3.14061318 4.43774378], Best Fitness = 0.007396337661983665, Evaluations = 752
Generation 94: Best Solution = [3.14061318 4.43774378], Best Fitness = 0.007396337661983665, Evaluations = 760
Generation 95: Best Solution = [3.14061318 4.43774378], Best Fitness = 0.0073962763957609035, Evaluations = 768
Generation 96: Best Solution = [3.13970989 4.43860421], Best Fitness = 0.007396095647406398, Evaluations = 776
Generation 97: Best Solution = [3.13970989 4.43860421], Best Fitness = 0.007396095647406398, Evaluations = 784
Generation 98: Best Solution = [3.14007146 4.43847788], Best Fitness = 0.007396041806001286, Evaluations = 792
Generation 99: Best Solution = [3.14007146 4.43847788], Best Fitness = 0.007396041806001286, Evaluations = 800
Generation 100: Best Solution = [3.14007146 4.43847788], Best Fitness = 0.007396041806001286, Evaluations = 808
Generation 101: Best Solution = [3.14007146 4.43847788], Best Fitness = 0.007396041806001286, Evaluations = 816
Generation 102: Best Solution = [3.14007146 4.43847788], Best Fitness = 0.007396041806001286, Evaluations = 824
Generation 103: Best Solution = [3.14007146 4.43847788], Best Fitness = 0.007396041806001286, Evaluations = 832
Generation 104: Best Solution = [3.14007146 4.43847788], Best Fitness = 0.007396041806001286, Evaluations = 840
Generation 105: Best Solution = [3.14007146 4.43847788], Best Fitness = 0.007396041806001286, Evaluations = 848
Generation 106: Best Solution = [3.14007146 4.43847788], Best Fitness = 0.007396041806001286, Evaluations = 856
Generation 107: Best Solution = [3.14007146 4.43847788], Best Fitness = 0.007396041806001286, Evaluations = 864
Generation 108: Best Solution = [3.14007235 4.4384547 ], Best Fitness = 0.007396041596660186, Evaluations = 872
Generation 109: Best Solution = [3.14007235 4.4384547 ], Best Fitness = 0.007396041596660186, Evaluations = 880
Generation 110: Best Solution = [3.14004057 4.43843188], Best Fitness = 0.007396040534731085, Evaluations = 888
Generation 111: Best Solution = [3.14003033 4.43847045], Best Fitness = 0.007396040532530623, Evaluations = 896
Generation 112: Best Solution = [3.14003033 4.43847045], Best Fitness = 0.007396040532530623, Evaluations = 904
Generation 113: Best Solution = [3.14003033 4.43847045], Best Fitness = 0.007396040532530623, Evaluations = 912
Generation 114: Best Solution = [3.14002744 4.43843933], Best Fitness = 0.007396040352311339, Evaluations = 920
Generation 115: Best Solution = [3.14002744 4.43843933], Best Fitness = 0.007396040352311339, Evaluations = 928
