Algorithm: Cross-Entropy Method
Objective Function: Rastrigin
Dimension: 10
Population Size: 8
Max Evaluations: 10000

  3.47454531 -4.04039017  2.97221076 -1.94141016], Best Fitness = 113.44443328920998, Evaluations = 352
Generation 45: Best Solution = [-0.12406258 -0.96126447  2.00565062 -0.96517837 -1.56947597 -4.13554734
  3.47536493 -4.03816678  2.97856486 -1.94132393], Best Fitness = 113.316049828275, Evaluations = 360
Generation 46: Best Solution = [-0.12695088 -0.95933833  1.99859001 -0.96258097 -1.5776117  -4.13323075
  3.47871883 -4.0354832   2.97994051 -1.94653621], Best Fitness = 113.03648774157425, Evaluations = 368
Generation 47: Best Solution = [-0.12263386 -0.95840657  2.00256302 -0.96530014 -1.57902381 -4.13392072
  3.47340967 -4.03232724  2.97820477 -1.94551991], Best Fitness = 112.70817865364845, Evaluations = 376
Generation 48: Best Solution = [-0.11787231 -0.96723361  1.99521092 -0.95985204 -1.5932926  -4.13478117
  3.48203561 -4.03534535  2.97623816 -1.94162295], Best Fitness = 112.34031829766889, Evaluations = 384
Generation 49: Best Solution = [-0.12412976 -0.97865357  1.99171461 -0.96609531 -1.5984903  -4.12710977
  3.49563927 -4.03358247  2.97515408 -1.94940778], Best Fitness = 111.83193101238544, Evaluations = 392
Generation 50: Best Solution = [-0.12084262 -0.97505652  1.99357365 -0.96715547 -1.60361572 -4.12843979
  3.49194688 -4.03408754  2.97445984 -1.94550077], Best Fitness = 111.64286528092315, Evaluations = 400
Generation 51: Best Solution = [-0.1176671  -0.98061415  1.99342147 -0.96731325 -1.60971265 -4.13024965
  3.49430126 -4.02973887  2.97402148 -1.94901567], Best Fitness = 111.22286859567708, Evaluations = 408
Generation 52: Best Solution = [-0.1157425  -0.97175888  2.00647468 -0.96673495 -1.60015676 -4.11702133
  3.49684562 -4.03219521  2.95924113 -1.94592867], Best Fitness = 111.13914186651712, Evaluations = 416
Generation 53: Best Solution = [-0.11797252 -0.97253938  2.00839689 -0.96583464 -1.60132326 -4.10510057
  3.50251855 -4.02845639  2.95194098 -1.94531888], Best Fitness = 110.69066595636676, Evaluations = 424
Generation 54: Best Solution = [-0.11174946 -0.96698375  2.0138438  -0.9684924  -1.59504442 -4.0998614
  3.50511722 -4.02719255  2.95097818 -1.9516586 ], Best Fitness = 110.37117082826988, Evaluations = 432
Generation 55: Best Solution = [-0.10276331 -0.96671596  2.01623292 -0.97256853 -1.59534595 -4.09990186
  3.49891467 -4.02533509  2.94767585 -1.95133141], Best Fitness = 109.97430278143956, Evaluations = 440
Generation 56: Best Solution = [-0.09732249 -0.96238561  2.02561555 -0.98007796 -1.58471341 -4.0956956
  3.49035365 -4.01985795  2.94564837 -1.95896568], Best Fitness = 109.7769359957638, Evaluations = 448
Generation 57: Best Solution = [-0.09107598 -0.96037942  2.02879399 -0.98209253 -1.57928745 -4.09073938
  3.48415624 -4.01567834  2.93958065 -1.96690828], Best Fitness = 109.43473078784653, Evaluations = 456
Generation 58: Best Solution = [-0.0878343  -0.96058127  2.03119502 -0.98055088 -1.57643066 -4.0935126
  3.48542014 -4.01282846  2.93912433 -1.97199165], Best Fitness = 109.50712011903249, Evaluations = 464
Generation 59: Best Solution = [-0.08785179 -0.96994451  2.02239316 -0.97265385 -1.58269882 -4.0947833
  3.48854189 -4.01903289  2.94395652 -1.97064159], Best Fitness = 109.26914369641457, Evaluations = 472
