Algorithm: Differential Evolution
Objective Function: Ackley
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 127: Best Solution = [ 5.20219419e-12 -2.38840126e-12], Best Fitness = 1.6193713037182533e-11, Evaluations = 1024
Generation 128: Best Solution = [2.47345459e-12 5.85265262e-13], Best Fitness = 7.191136575102064e-12, Evaluations = 1032
Generation 129: Best Solution = [1.81374072e-12 6.50543207e-13], Best Fitness = 5.4503068724898185e-12, Evaluations = 1040
Generation 130: Best Solution = [1.81374072e-12 6.50543207e-13], Best Fitness = 5.4503068724898185e-12, Evaluations = 1048
Generation 131: Best Solution = [1.06433273e-12 5.85265262e-13], Best Fitness = 3.4359182166099345e-12, Evaluations = 1056
Generation 132: Best Solution = [1.06433273e-12 5.85265262e-13], Best Fitness = 3.4359182166099345e-12, Evaluations = 1064
Generation 133: Best Solution = [-6.24968298e-14  9.62043927e-13], Best Fitness = 2.7289281945286348e-12, Evaluations = 1072
Generation 134: Best Solution = [-6.24968298e-14  9.62043927e-13], Best Fitness = 2.7289281945286348e-12, Evaluations = 1080
Generation 135: Best Solution = [-6.24968298e-14  9.62043927e-13], Best Fitness = 1.41797684705125e-12, Evaluations = 1088
Generation 136: Best Solution = [-1.89109878e-13 -1.04583464e-13], Best Fitness = 6.115108419635362e-13, Evaluations = 1096
Generation 137: Best Solution = [-1.89109878e-13 -1.04583464e-13], Best Fitness = 3.4861002973229915e-13, Evaluations = 1104
Generation 138: Best Solution = [-1.89109878e-13 -1.04583464e-13], Best Fitness = 3.4861002973229915e-13, Evaluations = 1112
Generation 139: Best Solution = [-1.89109878e-13 -1.04583464e-13], Best Fitness = 3.4861002973229915e-13, Evaluations = 1120
Generation 140: Best Solution = [-1.89109878e-13 -1.04583464e-13], Best Fitness = 3.1308289294429414e-13, Evaluations = 1128
Generation 141: Best Solution = [-1.89109878e-13 -1.04583464e-13], Best Fitness = 3.1308289294429414e-13, Evaluations = 1136
Generation 142: Best Solution = [-1.89109878e-13 -1.04583464e-13], Best Fitness = 3.1308289294429414e-13, Evaluations = 1144
Generation 143: Best Solution = [-2.05167856e-14 -1.47099044e-14], Best Fitness = 7.149836278586008e-14, Evaluations = 1152
Generation 144: Best Solution = [-2.05167856e-14 -1.47099044e-14], Best Fitness = 7.149836278586008e-14, Evaluations = 1160
Generation 145: Best Solution = [-2.05167856e-14 -1.47099044e-14], Best Fitness = 6.794564910705958e-14, Evaluations = 1168
Generation 146: Best Solution = [-2.05167856e-14 -1.47099044e-14], Best Fitness = 6.794564910705958e-14, Evaluations = 1176
Generation 147: Best Solution = [-2.05167856e-14 -1.47099044e-14], Best Fitness = 6.794564910705958e-14, Evaluations = 1184
Generation 148: Best Solution = [-2.05167856e-14 -1.47099044e-14], Best Fitness = 5.0182080713057076e-14, Evaluations = 1192
Generation 149: Best Solution = [-2.05167856e-14 -1.47099044e-14], Best Fitness = 2.1760371282653068e-14, Evaluations = 1200
Generation 150: Best Solution = [-2.05167856e-14 -1.47099044e-14], Best Fitness = 2.1760371282653068e-14, Evaluations = 1208
Generation 151: Best Solution = [-2.05167856e-14 -1.47099044e-14], Best Fitness = 2.1760371282653068e-14, Evaluations = 1216
Generation 152: Best Solution = [-2.05167856e-14 -1.47099044e-14], Best Fitness = 2.1760371282653068e-14, Evaluations = 1224
Generation 153: Best Solution = [-2.05167856e-14 -1.47099044e-14], Best Fitness = 2.1760371282653068e-14, Evaluations = 1232
Generation 154: Best Solution = [-2.05167856e-14 -1.47099044e-14], Best Fitness = 2.1760371282653068e-14, Evaluations = 1240
Generation 155: Best Solution = [-2.05167856e-14 -1.47099044e-14], Best Fitness = 2.1760371282653068e-14, Evaluations = 1248
Generation 156: Best Solution = [-2.05167856e-14 -1.47099044e-14], Best Fitness = 2.1760371282653068e-14, Evaluations = 1256
Generation 157: Best Solution = [-4.41904392e-16  3.97844973e-15], Best Fitness = 1.1102230246251565e-14, Evaluations = 1264
Generation 158: Best Solution = [-4.41904392e-16  3.97844973e-15], Best Fitness = 1.1102230246251565e-14, Evaluations = 1272
Generation 159: Best Solution = [-9.00051746e-16  1.91051255e-15], Best Fitness = 7.549516567451064e-15, Evaluations = 1280
Generation 160: Best Solution = [-9.00051746e-16  1.91051255e-15], Best Fitness = 7.549516567451064e-15, Evaluations = 1288
Generation 161: Best Solution = [-9.00051746e-16  1.91051255e-15], Best Fitness = 7.549516567451064e-15, Evaluations = 1296
Generation 162: Best Solution = [-9.00051746e-16  1.91051255e-15], Best Fitness = 7.549516567451064e-15, Evaluations = 1304
Generation 163: Best Solution = [-9.00051746e-16  1.91051255e-15], Best Fitness = 7.549516567451064e-15, Evaluations = 1312
Generation 164: Best Solution = [-9.00051746e-16  1.91051255e-15], Best Fitness = 7.549516567451064e-15, Evaluations = 1320
Generation 165: Best Solution = [-9.00051746e-16  1.91051255e-15], Best Fitness = 7.549516567451064e-15, Evaluations = 1328
Generation 166: Best Solution = [1.51770338e-15 3.24346378e-16], Best Fitness = 3.9968028886505635e-15, Evaluations = 1336
Generation 167: Best Solution = [1.51770338e-15 3.24346378e-16], Best Fitness = 3.9968028886505635e-15, Evaluations = 1344
Generation 168: Best Solution = [1.51770338e-15 3.24346378e-16], Best Fitness = 3.9968028886505635e-15, Evaluations = 1352
Generation 169: Best Solution = [1.51770338e-15 3.24346378e-16], Best Fitness = 3.9968028886505635e-15, Evaluations = 1360
Generation 170: Best Solution = [1.51770338e-15 3.24346378e-16], Best Fitness = 3.9968028886505635e-15, Evaluations = 1368
Generation 171: Best Solution = [1.51770338e-15 3.24346378e-16], Best Fitness = 3.9968028886505635e-15, Evaluations = 1376
Generation 172: Best Solution = [1.51770338e-15 3.24346378e-16], Best Fitness = 3.9968028886505635e-15, Evaluations = 1384
Generation 173: Best Solution = [1.51770338e-15 3.24346378e-16], Best Fitness = 3.9968028886505635e-15, Evaluations = 1392
Generation 174: Best Solution = [1.51770338e-15 3.24346378e-16], Best Fitness = 3.9968028886505635e-15, Evaluations = 1400
Generation 175: Best Solution = [1.51770338e-15 3.24346378e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1408
Generation 176: Best Solution = [1.51770338e-15 3.24346378e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1416
Generation 177: Best Solution = [1.51770338e-15 3.24346378e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1424
Generation 178: Best Solution = [1.51770338e-15 3.24346378e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1432
Generation 179: Best Solution = [1.51770338e-15 3.24346378e-16], Best Fitness = 4.440892098500626e-16, Evaluations = 1440
