Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 2
Population Size: 8
Max Evaluations: 2000

Generation 44: Best Solution = [-1.90055123e-05 -2.40763311e-04], Best Fitness = 1.1571847565505777e-05, Evaluations = 360
Generation 45: Best Solution = [-1.90055123e-05 -2.40763311e-04], Best Fitness = 2.7828100179760895e-06, Evaluations = 368
Generation 46: Best Solution = [-1.90055123e-05 -2.40763311e-04], Best Fitness = 2.7828100179760895e-06, Evaluations = 376
Generation 47: Best Solution = [-1.90055123e-05 -2.40763311e-04], Best Fitness = 2.7828100179760895e-06, Evaluations = 384
Generation 48: Best Solution = [-7.62705045e-05 -3.38438631e-05], Best Fitness = 1.3813241181992453e-06, Evaluations = 392
Generation 49: Best Solution = [-4.92240293e-05  4.28980210e-06], Best Fitness = 4.843559224809724e-07, Evaluations = 400
Generation 50: Best Solution = [-4.92240293e-05  4.28980210e-06], Best Fitness = 4.843559224809724e-07, Evaluations = 408
Generation 51: Best Solution = [-4.92240293e-05  4.28980210e-06], Best Fitness = 4.843559224809724e-07, Evaluations = 416
Generation 52: Best Solution = [1.38844128e-05 1.52229972e-05], Best Fitness = 8.422072994562768e-08, Evaluations = 424
Generation 53: Best Solution = [1.38844128e-05 1.52229972e-05], Best Fitness = 8.422072994562768e-08, Evaluations = 432
Generation 54: Best Solution = [-1.03457030e-05 -1.14705685e-05], Best Fitness = 4.733784209065561e-08, Evaluations = 440
Generation 55: Best Solution = [-1.03457030e-05 -1.14705685e-05], Best Fitness = 4.733784209065561e-08, Evaluations = 448
Generation 56: Best Solution = [-1.03457030e-05 -1.14705685e-05], Best Fitness = 4.733784209065561e-08, Evaluations = 456
Generation 57: Best Solution = [-5.49990775e-06  1.20158213e-05], Best Fitness = 3.46450050869862e-08, Evaluations = 464
Generation 58: Best Solution = [ 4.41800762e-07 -6.54251246e-06], Best Fitness = 8.530790296390478e-09, Evaluations = 472
Generation 59: Best Solution = [ 2.57179638e-06 -1.27447496e-06], Best Fitness = 1.6344365860732069e-09, Evaluations = 480
Generation 60: Best Solution = [ 2.57179638e-06 -1.27447496e-06], Best Fitness = 1.6344365860732069e-09, Evaluations = 488
Generation 61: Best Solution = [ 2.57179638e-06 -1.27447496e-06], Best Fitness = 1.6249543932644883e-09, Evaluations = 496
Generation 62: Best Solution = [ 2.57179638e-06 -1.27447496e-06], Best Fitness = 1.6249543932644883e-09, Evaluations = 504
Generation 63: Best Solution = [-1.13961486e-06  1.63606741e-06], Best Fitness = 7.886953312663536e-10, Evaluations = 512
Generation 64: Best Solution = [-1.13961486e-06  1.63606741e-06], Best Fitness = 7.886953312663536e-10, Evaluations = 520
Generation 65: Best Solution = [ 4.35252857e-07 -6.79220400e-07], Best Fitness = 1.291127205149678e-10, Evaluations = 528
Generation 66: Best Solution = [ 4.35252857e-07 -6.79220400e-07], Best Fitness = 1.291127205149678e-10, Evaluations = 536
Generation 67: Best Solution = [ 4.35252857e-07 -6.79220400e-07], Best Fitness = 1.291127205149678e-10, Evaluations = 544
Generation 68: Best Solution = [ 4.35252857e-07 -6.79220400e-07], Best Fitness = 1.291127205149678e-10, Evaluations = 552
Generation 69: Best Solution = [-4.16640985e-08 -3.53093025e-07], Best Fitness = 2.5078605858652736e-11, Evaluations = 560
Generation 70: Best Solution = [ 2.52864791e-07 -1.87762375e-07], Best Fitness = 1.9682033780554775e-11, Evaluations = 568
Generation 71: Best Solution = [ 2.52864791e-07 -1.87762375e-07], Best Fitness = 1.9682033780554775e-11, Evaluations = 576
Generation 72: Best Solution = [ 2.52864791e-07 -1.87762375e-07], Best Fitness = 1.9682033780554775e-11, Evaluations = 584
Generation 73: Best Solution = [4.60482278e-08 1.72795123e-07], Best Fitness = 6.345146630337695e-12, Evaluations = 592
Generation 74: Best Solution = [4.60482278e-08 1.72795123e-07], Best Fitness = 5.258016244624741e-13, Evaluations = 600
Generation 75: Best Solution = [4.60482278e-08 1.72795123e-07], Best Fitness = 5.258016244624741e-13, Evaluations = 608
Generation 76: Best Solution = [4.60482278e-08 1.72795123e-07], Best Fitness = 5.258016244624741e-13, Evaluations = 616
Generation 77: Best Solution = [4.60482278e-08 1.72795123e-07], Best Fitness = 5.258016244624741e-13, Evaluations = 624
Generation 78: Best Solution = [4.60482278e-08 1.72795123e-07], Best Fitness = 5.258016244624741e-13, Evaluations = 632
