Algorithm: Differential Evolution
Objective Function: Rosenbrock
Dimension: 2
Population Size: 16
Max Evaluations: 2000

Generation 93: Best Solution = [1.11191376 1.2510218 ], Best Fitness = 0.03404439765840131, Evaluations = 1504
Generation 94: Best Solution = [1.11191376 1.2510218 ], Best Fitness = 0.03404439765840131, Evaluations = 1520
Generation 95: Best Solution = [1.11191376 1.2510218 ], Best Fitness = 0.03404439765840131, Evaluations = 1536
Generation 96: Best Solution = [1.11191376 1.2510218 ], Best Fitness = 0.03404439765840131, Evaluations = 1552
Generation 97: Best Solution = [1.11191376 1.2510218 ], Best Fitness = 0.03404439765840131, Evaluations = 1568
Generation 98: Best Solution = [1.11191376 1.2510218 ], Best Fitness = 0.03404439765840131, Evaluations = 1584
Generation 99: Best Solution = [1.11191376 1.2510218 ], Best Fitness = 0.03404439765840131, Evaluations = 1600
Generation 100: Best Solution = [1.11191376 1.2510218 ], Best Fitness = 0.03404439765840131, Evaluations = 1616
Generation 101: Best Solution = [1.11191376 1.2510218 ], Best Fitness = 0.03404439765840131, Evaluations = 1632
Generation 102: Best Solution = [1.11191376 1.2510218 ], Best Fitness = 0.03404439765840131, Evaluations = 1648
Generation 103: Best Solution = [1.11552725 1.23745751], Best Fitness = 0.018167805048939965, Evaluations = 1664
Generation 104: Best Solution = [0.95449299 0.91292376], Best Fitness = 0.002419419089025714, Evaluations = 1680
Generation 105: Best Solution = [0.95449299 0.91292376], Best Fitness = 0.002419419089025714, Evaluations = 1696
Generation 106: Best Solution = [0.95449299 0.91292376], Best Fitness = 0.002419419089025714, Evaluations = 1712
Generation 107: Best Solution = [0.95449299 0.91292376], Best Fitness = 0.002419419089025714, Evaluations = 1728
Generation 108: Best Solution = [0.95449299 0.91292376], Best Fitness = 0.002419419089025714, Evaluations = 1744
Generation 109: Best Solution = [0.95449299 0.91292376], Best Fitness = 0.002419419089025714, Evaluations = 1760
Generation 110: Best Solution = [0.95449299 0.91292376], Best Fitness = 0.002419419089025714, Evaluations = 1776
Generation 111: Best Solution = [0.95449299 0.91292376], Best Fitness = 0.002419419089025714, Evaluations = 1792
Generation 112: Best Solution = [0.95449299 0.91292376], Best Fitness = 0.002419419089025714, Evaluations = 1808
Generation 113: Best Solution = [0.95449299 0.91292376], Best Fitness = 0.002419419089025714, Evaluations = 1824
Generation 114: Best Solution = [0.95449299 0.91292376], Best Fitness = 0.002419419089025714, Evaluations = 1840
Generation 115: Best Solution = [0.95449299 0.91292376], Best Fitness = 0.002419419089025714, Evaluations = 1856
Generation 116: Best Solution = [0.95449299 0.91292376], Best Fitness = 0.002419419089025714, Evaluations = 1872
Generation 117: Best Solution = [0.95449299 0.91292376], Best Fitness = 0.002419419089025714, Evaluations = 1888
Generation 118: Best Solution = [0.95449299 0.91292376], Best Fitness = 0.002419419089025714, Evaluations = 1904
Generation 119: Best Solution = [0.95449299 0.91292376], Best Fitness = 0.002419419089025714, Evaluations = 1920
Generation 120: Best Solution = [0.95449299 0.91292376], Best Fitness = 0.002419419089025714, Evaluations = 1936
Generation 121: Best Solution = [0.95449299 0.91292376], Best Fitness = 0.002419419089025714, Evaluations = 1952
Generation 122: Best Solution = [0.95449299 0.91292376], Best Fitness = 0.002419419089025714, Evaluations = 1968
Generation 123: Best Solution = [0.95449299 0.91292376], Best Fitness = 0.002419419089025714, Evaluations = 1984
Generation 124: Best Solution = [0.95449299 0.91292376], Best Fitness = 0.002419419089025714, Evaluations = 2000
