Algorithm: Differential Evolution
Objective Function: Rastrigin
Dimension: 10
Population Size: 32
Max Evaluations: 10000

Generation 65: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2112
Generation 66: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2144
Generation 67: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2176
Generation 68: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2208
Generation 69: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2240
Generation 70: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2272
Generation 71: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2304
Generation 72: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2336
Generation 73: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2368
Generation 74: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2400
Generation 75: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2432
Generation 76: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2464
Generation 77: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2496
Generation 78: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2528
Generation 79: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2560
Generation 80: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2592
Generation 81: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2624
Generation 82: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2656
Generation 83: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2688
Generation 84: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2720
Generation 85: Best Solution = [-1.96377547  0.0395986  -1.89934496 -0.16402219 -1.06889103 -1.08506406
 -0.88216083 -0.1621897  -0.12928149 -2.05008882], Best Fitness = 34.716470852640455, Evaluations = 2752
